query_id,database,hit_count,retrieved_count,retrieval_capped,run_utc
DBQ01,openalex,11280,1000,True,2026-08-27T04:28:24+00:00
DBQ01,crossref,290544,1000,True,2026-08-27T04:28:24+00:00
DBQ01,pubmed,44,44,False,2026-08-27T04:28:24+00:00
DBQ02,openalex,3698,1000,True,2026-08-27T04:28:24+00:00
DBQ02,crossref,134740,1000,True,2026-08-27T04:28:24+00:00
DBQ02,pubmed,6,6,False,2026-08-27T04:28:24+00:00
DBQ03,openalex,1760,1000,True,2026-08-27T04:28:24+00:00
DBQ03,crossref,74453,1000,True,2026-08-27T04:28:24+00:00
DBQ03,pubmed,11,11,False,2026-08-27T04:28:24+00:00
DBQ04,openalex,458,458,False,2026-08-27T04:28:24+00:00
DBQ04,crossref,38303,1000,True,2026-08-27T04:28:24+00:00
DBQ04,pubmed,31,31,False,2026-08-27T04:28:24+00:00
DBQ05,openalex,975,975,False,2026-08-27T04:28:24+00:00
DBQ05,crossref,159457,1000,True,2026-08-27T04:28:24+00:00
DBQ05,pubmed,21,21,False,2026-08-27T04:28:24+00:00
DBQ06,openalex,1540,1000,True,2026-08-27T04:28:24+00:00
DBQ06,crossref,128981,1000,True,2026-08-27T04:28:24+00:00
DBQ06,pubmed,61,61,False,2026-08-27T04:28:24+00:00
DBQ07,openalex,3321,1000,True,2026-08-27T04:28:24+00:00
DBQ07,crossref,76789,1000,True,2026-08-27T04:28:24+00:00
DBQ07,pubmed,50,50,False,2026-08-27T04:28:24+00:00
DBQ08,openalex,67,67,False,2026-08-27T04:28:24+00:00
DBQ08,crossref,75185,1000,True,2026-08-27T04:28:24+00:00
DBQ08,pubmed,10,10,False,2026-08-27T04:28:24+00:00
DBQ09,openalex,777,777,False,2026-08-27T04:28:24+00:00
DBQ09,crossref,356673,1000,True,2026-08-27T04:28:24+00:00
DBQ09,pubmed,6,6,False,2026-08-27T04:28:24+00:00
DBQ10,openalex,178,178,False,2026-08-27T04:28:24+00:00
DBQ10,crossref,305793,1000,True,2026-08-27T04:28:24+00:00
DBQ10,pubmed,4,4,False,2026-08-27T04:28:24+00:00
DBQ11,openalex,43,43,False,2026-08-27T04:28:24+00:00
DBQ11,crossref,300760,1000,True,2026-08-27T04:28:24+00:00
DBQ11,pubmed,2,2,False,2026-08-27T04:28:24+00:00
DBQ12,openalex,411,411,False,2026-08-27T04:28:24+00:00
DBQ12,crossref,313739,1000,True,2026-08-27T04:28:24+00:00
DBQ12,pubmed,4,4,False,2026-08-27T04:28:24+00:00
