clade,tips,fine_states,root_to_tip_cv,crown_height,slope,area,near_far
Annona,30,2,3.2114209220528973e-17,0.017760785,0.26513942274672464,-0.04370908324700433,-0.24451323869928504
Asparagus,29,2,1.2379307735136236e-16,0.041397409999999996,-0.37292866299903144,0.22350448209610727,0.31681910569105687
Capparis,24,2,5.370616147434774e-12,0.013933823999979996,0.29675306288834186,-0.05553457568399685,-0.3037214885954381
Chrysophyllum,22,3,3.76160642427926e-16,0.011550082999999996,-0.561534209033929,0.07466879137659216,0.5399719495091162
Cissus,69,4,1.6873764930846854e-16,0.04112238099999999,0.031675345600092525,0.002473011300186941,-0.0326441159972344
Clidemia,78,3,3.897240448611302e-16,0.008698886000000003,-0.10265594263123073,0.03768633623600838,-0.15484188507444294
Cordia,74,2,2.203827698331666e-16,0.023266435999999995,-0.7085978643162207,-0.30554113165953195,-0.36126956152290757
Cornus,37,2,2.327002909919788e-16,0.4771042700000001,-1.5566867783410625,0.2998527317558038,1.1094979647218453
Cryptocarya,26,2,2.405784292310739e-16,0.013382373999999997,-0.04093852537895397,0.03209458161893508,-0.03170913682277321
Cyphostemma,27,3,0.0,0.03146311,-0.6997464371467434,0.01621059619057053,0.19712469733656174
Diospyros,115,5,2.9814575189447324e-11,0.013935354666445252,0.061271656140968134,-0.02393977840097832,-0.05845700549815902
Elaeocarpus,63,3,2.0316309821749748e-16,0.016417551000000002,0.35978291666681117,-0.013815167539717062,0.20949390745309102
Garcinia,54,4,1.9692747304578854e-16,0.017617892000000003,-0.09039719932329468,0.022164300864659054,-0.06771871745275998
Gaultheria,72,3,4.1486924536690726e-16,0.008362748000000003,-1.227527163002688,0.041424483695442674,0.979686668637304
Ilex,120,3,1.5543820305423567e-16,0.043234486999999995,-0.7864562678080773,0.04342233540781732,-0.04420866489831991
Lonicera,81,4,3.589110439661356e-16,0.019478222999999992,-0.18780493316330688,0.03703767311998246,0.036344755970924264
Maytenus,31,3,2.069677865003287e-16,0.03352644400000001,-0.16299616607093526,0.019176521512144357,0.17720314872672052
Ocotea,41,2,3.371533617593539e-16,0.006752232000000002,0.08696246475487851,-0.0053904505124870656,-0.047619047619047554
Passiflora,179,5,2.2346286043246924e-16,0.04289299600000001,-0.1915305729135411,0.06186105167074846,0.17503793131462042
Pouteria,90,3,3.5964930696385987e-16,0.02894024999999999,0.21031881923069035,0.0035032537063950206,-0.1340406916585006
Protium,47,3,4.640240344283911e-16,0.007783764000000004,-0.3089575351581503,0.008090047477384815,0.12483293691244762
Prunus,93,2,2.0818026076058102e-16,0.029327529000000005,0.4770143396354131,-0.008595707119505795,0.02480333452436223
Rhus,35,3,1.343884304367841e-16,0.023246529999999998,-0.30408274138055563,-0.00584858784328867,0.2936010808155245
Ribes,80,5,1.4585314096006354e-11,0.021490001500062646,-0.10710730498069639,0.010051626857089232,0.05162827640984908
Rosa,87,4,1.2792218499094382e-16,0.07074823499999999,-0.6169149383852067,0.02565989129342758,0.6173547675853559
Rubus,85,2,1.6461321225929632e-16,0.04215271549999999,-0.25924698204014296,0.02413798862352793,0.12759170653907484
Scaevola,33,3,5.82938312140672e-17,0.0456471,-0.98642950859902,0.07086525362210326,0.8466099937798048
Smilax,80,2,1.7410912468300533e-16,0.010439399000000002,-0.18524605242968356,0.11147482593593276,-0.189317106152806
Solanum,440,4,4.5740573036561876e-17,0.018396457,-0.9053943281894012,0.008315506009823045,0.7149243793398649
Symplocos,94,4,1.2027230217530338e-16,0.02355315,0.22894435035167396,0.13144991370134063,-0.29434195355225184
Terminalia,40,3,6.705755989553662e-17,0.053597794,-0.48177290974079784,-0.023886362895246774,0.2053388090349076
Vaccinium,85,4,3.355013778374719e-16,0.010027867999999997,-0.3531551051666033,0.06527781967278096,0.2495908346972177
