accepted_taxon,source_taxon_name,phylogeny_tip,flower_type,display_organ,visible_state,source_doi,source_record,source_locator,agreement_status,polymorphism_status,uncertainty_class,include_macro,evidence_group,notes
Hydrangea serratifolia,Hydrangea serratifolia,UNRESOLVED_TO_EXACT_ACCESSION_TIP,SOURCE_TYPED_FLOWER_COLOUR,SOURCE_TYPED_DISPLAY_PERIANTH,WHITE,10.3389/fpls.2021.661522,RESULTS_CLADE_A_PLUS_DISCUSSION_WHITE_FLOWERS,"Phylogenetic Relationships: clade A composition; Discussion: these three species have white flowers",SOURCE_TEXT_EXPLICIT,NOT_RESOLVED_FROM_THIS_TEXT_ASSERTION,SOURCE_CLADE_OR_SPECIES_TEXT_EXPLICIT_TIP_MAPPING_PENDING,0,CLADE_A_EXPLICIT_WHITE,"Source-backed taxon colour; exact accession/tip mapping remains pending."
Hydrangea seemannii,Hydrangea seemannii,UNRESOLVED_TO_EXACT_ACCESSION_TIP,SOURCE_TYPED_FLOWER_COLOUR,SOURCE_TYPED_DISPLAY_PERIANTH,WHITE,10.3389/fpls.2021.661522,RESULTS_CLADE_A_PLUS_DISCUSSION_WHITE_FLOWERS,"Phylogenetic Relationships: clade A composition; Discussion: these three species have white flowers",SOURCE_TEXT_EXPLICIT,NOT_RESOLVED_FROM_THIS_TEXT_ASSERTION,SOURCE_CLADE_OR_SPECIES_TEXT_EXPLICIT_TIP_MAPPING_PENDING,0,CLADE_A_EXPLICIT_WHITE,"Source-backed taxon colour; two accessions are reported in clade A, but exact accession/tip mapping remains pending."
Hydrangea integrifolia,Hydrangea integrifolia,UNRESOLVED_TO_EXACT_ACCESSION_TIP,SOURCE_TYPED_FLOWER_COLOUR,SOURCE_TYPED_DISPLAY_PERIANTH,WHITE,10.3389/fpls.2021.661522,RESULTS_CLADE_A_PLUS_DISCUSSION_WHITE_FLOWERS,"Phylogenetic Relationships: clade A composition; Discussion: these three species have white flowers",SOURCE_TEXT_EXPLICIT,NOT_RESOLVED_FROM_THIS_TEXT_ASSERTION,SOURCE_CLADE_OR_SPECIES_TEXT_EXPLICIT_TIP_MAPPING_PENDING,0,CLADE_A_EXPLICIT_WHITE,"Source-backed taxon colour; exact accession/tip mapping remains pending."
Hydrangea tapalapensis,Hydrangea tapalapensis,UNRESOLVED_TO_EXACT_ACCESSION_TIP,SOURCE_TYPED_FLOWER_COLOUR,SOURCE_TYPED_DISPLAY_PERIANTH,WHITE,10.3389/fpls.2021.661522,RESULTS_CLADE_I_PLUS_DISCUSSION_WHITE_FLOWERS,"Phylogenetic Relationships: clade I composition; Discussion: species within clade I have white flowers",SOURCE_TEXT_EXPLICIT,NOT_RESOLVED_FROM_THIS_TEXT_ASSERTION,SOURCE_CLADE_OR_SPECIES_TEXT_EXPLICIT_TIP_MAPPING_PENDING,0,CLADE_I_EXPLICIT_WHITE,"Source-backed taxon colour; clade I lacks enlarged marginal flowers; exact accession/tip mapping remains pending."
Hydrangea sousae,Hydrangea sousae,UNRESOLVED_TO_EXACT_ACCESSION_TIP,SOURCE_TYPED_FLOWER_COLOUR,SOURCE_TYPED_DISPLAY_PERIANTH,WHITE,10.3389/fpls.2021.661522,RESULTS_CLADE_I_PLUS_DISCUSSION_WHITE_FLOWERS,"Phylogenetic Relationships: clade I composition; Discussion: species within clade I have white flowers",SOURCE_TEXT_EXPLICIT,NOT_RESOLVED_FROM_THIS_TEXT_ASSERTION,SOURCE_CLADE_OR_SPECIES_TEXT_EXPLICIT_TIP_MAPPING_PENDING,0,CLADE_I_EXPLICIT_WHITE,"Source-backed taxon colour; clade I lacks enlarged marginal flowers; exact accession/tip mapping remains pending."
Hydrangea steyermarkii,Hydrangea steyermarkii,UNRESOLVED_TO_EXACT_ACCESSION_TIP,SOURCE_TYPED_FLOWER_COLOUR,SOURCE_TYPED_DISPLAY_PERIANTH,WHITE,10.3389/fpls.2021.661522,RESULTS_CLADE_I_PLUS_DISCUSSION_WHITE_FLOWERS,"Phylogenetic Relationships: clade I composition; Discussion: species within clade I have white flowers",SOURCE_TEXT_EXPLICIT,NOT_RESOLVED_FROM_THIS_TEXT_ASSERTION,SOURCE_CLADE_OR_SPECIES_TEXT_EXPLICIT_TIP_MAPPING_PENDING,0,CLADE_I_EXPLICIT_WHITE,"Source-backed taxon colour; clade I lacks enlarged marginal flowers; exact accession/tip mapping remains pending."
Hydrangea breedlovei,Hydrangea breedlovei,UNRESOLVED_TO_EXACT_ACCESSION_TIP,SOURCE_TYPED_FLOWER_COLOUR,SOURCE_TYPED_DISPLAY_PERIANTH,WHITE,10.3389/fpls.2021.661522,RESULTS_CLADE_I_PLUS_DISCUSSION_WHITE_FLOWERS,"Phylogenetic Relationships: clade I composition; Discussion: species within clade I have white flowers",SOURCE_TEXT_EXPLICIT,NOT_RESOLVED_FROM_THIS_TEXT_ASSERTION,SOURCE_CLADE_OR_SPECIES_TEXT_EXPLICIT_TIP_MAPPING_PENDING,0,CLADE_I_EXPLICIT_WHITE,"Source-backed taxon colour; clade I lacks enlarged marginal flowers; exact accession/tip mapping remains pending."
Hydrangea nahaensis,Hydrangea nahaensis,UNRESOLVED_TO_EXACT_ACCESSION_TIP,SOURCE_TYPED_FLOWER_COLOUR,SOURCE_TYPED_DISPLAY_PERIANTH,WHITE,10.3389/fpls.2021.661522,RESULTS_CLADE_I_PLUS_DISCUSSION_WHITE_FLOWERS,"Phylogenetic Relationships: clade I composition; Discussion: species within clade I have white flowers",SOURCE_TEXT_EXPLICIT,NOT_RESOLVED_FROM_THIS_TEXT_ASSERTION,SOURCE_CLADE_OR_SPECIES_TEXT_EXPLICIT_TIP_MAPPING_PENDING,0,CLADE_I_EXPLICIT_WHITE,"Source-backed taxon colour; clade I lacks enlarged marginal flowers; exact accession/tip mapping remains pending."
Hydrangea nebulicola,Hydrangea nebulicola,UNRESOLVED_TO_EXACT_ACCESSION_TIP,SOURCE_TYPED_FLOWER_COLOUR,SOURCE_TYPED_DISPLAY_PERIANTH,WHITE,10.3389/fpls.2021.661522,RESULTS_CLADE_I_PLUS_DISCUSSION_WHITE_FLOWERS,"Phylogenetic Relationships: clade I composition; Discussion: species within clade I have white flowers",SOURCE_TEXT_EXPLICIT,NOT_RESOLVED_FROM_THIS_TEXT_ASSERTION,SOURCE_CLADE_OR_SPECIES_TEXT_EXPLICIT_TIP_MAPPING_PENDING,0,CLADE_I_EXPLICIT_WHITE,"Source-backed taxon colour; clade I lacks enlarged marginal flowers; exact accession/tip mapping remains pending."
Hydrangea otontepecensis,Hydrangea otontepecensis,UNRESOLVED_TO_EXACT_ACCESSION_TIP,SOURCE_TYPED_FLOWER_COLOUR,SOURCE_TYPED_DISPLAY_PERIANTH,WHITE,10.3389/fpls.2021.661522,RESULTS_CLADE_I_PLUS_DISCUSSION_WHITE_FLOWERS,"Phylogenetic Relationships: clade I composition; Discussion: species within clade I have white flowers",SOURCE_TEXT_EXPLICIT,NOT_RESOLVED_FROM_THIS_TEXT_ASSERTION,SOURCE_CLADE_OR_SPECIES_TEXT_EXPLICIT_TIP_MAPPING_PENDING,0,CLADE_I_EXPLICIT_WHITE,"Source-backed taxon colour; clade I lacks enlarged marginal flowers; exact accession/tip mapping remains pending."
