reference_id,first_author,year,title,journal,volume,issue,pages_or_article,doi,role,status
R01_Rausher2008,Rausher,2008,Evolutionary transitions in floral color,International Journal of Plant Sciences,169,,7-21,10.1086/523358,background_flower_colour_evolution,verified_v0_1
R02_WessingerRausher2012,Wessinger,2012,Lessons from flower colour evolution on targets of selection,Journal of Experimental Botany,63,,5741-5749,10.1093/jxb/ers267,background_mechanistic_scale,verified_v0_1
R03_Trunschke2021,Trunschke,2021,Flower color evolution and the evidence of pollinator-mediated selection,Frontiers in Plant Science,12,,617851,10.3389/fpls.2021.617851,background_pollination,verified_v0_1
R04_Berardi2026,Berardi,2026,Paradigm shifts in flower color: An introduction,American Journal of Botany,113,,e70150,10.1002/ajb2.70150,background_flower_colour,verified_v0_1
R05_Wu2022,Wu,2022,Comparative transcriptomic analysis unveils the deep phylogeny and secondary metabolite evolution of 116 Camellia plants,The Plant Journal,111,,406-421,10.1111/tpj.15799,nuclear_backbone,verified_v0_1
R06_Zan2023,Zan,2023,Phylogenomic analyses of Camellia support reticulate evolution among major clades,Molecular Phylogenetics and Evolution,182,,107744,10.1016/j.ympev.2023.107744,phylogenomic_context,verified_v0_1
R07_Zhang2023,Zhang,2023,Phylotranscriptomic analyses reveal deep gene tree discordance in Camellia (Theaceae),Molecular Phylogenetics and Evolution,188,,107912,10.1016/j.ympev.2023.107912,phylogenomic_context,verified_v0_1
R08_Yan2024,Yan,2024,A new nuclear phylogeny of the tea family (Theaceae) unravels rapid radiations in genus Camellia,Molecular Phylogenetics and Evolution,196,,108089,10.1016/j.ympev.2024.108089,phylogenomic_context,verified_v0_1
R09_Fan2026,Fan,2026,Transposable Element-Mediated Structural Variation Drives Flower Colour Diversification in Camellia,Plant Biotechnology Journal,24,3,1725-1739,10.1111/pbi.70442,genus_genomic_context,verified_final_pagination
R10_Yu2023,Yu,2023,Transcriptome Analysis Reveals the Molecular Mechanisms Associated with Flower Color Formation in Camellia japonica ‘Joy Kendrick’,Forests,14,1,69,10.3390/f14010069,candidate_free_source_CJAPONICA,verified_primary_article
R11_Qu2024,Qu,2024,Coloration differences in three Camellia reticulata Lindl. cultivars: ‘Tongzimian’ ‘Shizitou’ and ‘Damanao’,BMC Plant Biology,24,,18,10.1186/s12870-023-04655-4,candidate_free_source_CRETICULATA,verified_primary_article
