question_id,scientific_question,current_meta_status,what_current_meta_establishes,identifiable_from_current_meta,next_evidence_class,exact_data_needed,why_needed,linked_hypothesis_or_issue
META01_SHORT_SCALE_ACCESSIBILITY,"Are floral pigment-network states repeatedly reachable through regulatory/flux changes?",supported_preliminary_robust,"v0.3: regulatory/flux 10/10 independence clusters; micro-only excluding genus-scale Fan2026 9/9; public-raw-only 6/6; leave-one-cluster-out direction unchanged",yes_for_directional_recurrence,public_raw_reanalysis_for_effect_size,"harmonized petal RNA-seq/metabolome contrasts with common ortholog/module scoring from admitted public datasets","needed only to estimate comparable effect magnitudes and heterogeneity; not needed to retain the directional accessibility conclusion",H_ACC;Issue4
META02_RED_ANTHOCYANIN_DIRECTION,"Is higher anthocyanin recurrently associated with the more-red/pink state?",supported_preliminary_robust,"6/6 interpretable independence clusters overall; 5/5 micro-only; 4/4 public-raw-only; leave-one-cluster-out fraction remains 1.0",yes_for_directional_recurrence,public_raw_reanalysis_for_effect_size,"absolute or standardized anthocyanin/module contrasts on common scales","needed for pooled effect size and moderators, not for directional recurrence",H_ACC;M1
META03_FLUX_PARTITIONING,"Does colour change repeatedly use anthocyanin-versus-competing-branch flux reallocation?",supported_preliminary_directional,"downstream anthocyanin 4/4 interpretable clusters and competing branch 6/6 in v0.3; CnFLS2 and C. perpetua add yellow-flavonol corroboration without independent-count inflation where materials overlap",yes_for_directional_pattern,public_raw_reanalysis_for_effect_size,"common DFR/ANS/UFGT versus FLS/ANR/LAR ortholog module scores plus metabolite axes","needed to quantify flux index, effect magnitude and taxon/scale moderators",H_ACC;H_STATE_ALIASING;M2
META04_STRUCTURAL_LOSS_FREQUENCY,"Are structural pigment-gene losses generally rare or unnecessary across Camellia flower-colour evolution?",partial_only,"no focal contrast requires structural loss among 3 explicitly informative independence clusters; 7/10 clusters provide no direct loss test",no_for_frequency,public_genome_and_ortholog_audit,"coding-sequence presence/absence, pseudogenization, copy number and synteny for pigment genes across independent colour-transition lineages","absence of reported loss is not evidence that loss is rare; current literature is under-informative for this parameter",H_ACC;H_WHITE_RESERVOIR
META05_MACRO_ORIGIN_COUNTS,"How many independent W/A/Y or latent pigment-state gains and losses occurred?",not_identifiable,"extant A/Y section concentration and dominance are strong, but sections cannot distinguish repeated gain from one/few origins plus radiation",no,public_phylogenomics_reconstruction,"provenance-safe nuclear species trees with branch lengths/topology uncertainty plus frozen species/latent-state matrix","origin number and direction require branch histories; extant counts are observationally compatible with several histories",H_GENERATION_PERSISTENCE_DECOMP;H_ORIGIN_RETENTION_RADIATION;Issue10
META06_GENERATION_VS_PERSISTENCE,"Does lineage background alter generation hazard or post-transition persistence/loss?",not_identifiable,"micro accessibility coexists with A/Y macro concentration; current extant distribution cannot assign the bottleneck to gain versus retention/loss",no,public_phylogenomics_reconstruction,"multiple nuclear trees; stochastic state histories; branch-level opportunities/exposure; reticulation-sensitive alternatives","gain and loss hazards are confounded in extant state-by-section counts",H_LINEAGE_PERMISSIVITY;H_GENERATION_PERSISTENCE_DECOMP;Issue10
META07_MICRO_MACRO_NODE_REUSE,"Are the same nodes labile in development/cultivars preferentially reused on independent macro transitions?",not_identifiable,"micro lability is robust across scales, but independent macro transition branches are not yet established",no,public_raw_plus_phylogenomics,"node-level micro-accessibility scores from common raw reanalysis plus independently reconstructed macro transition branches and matched pigment-network background","requires independent macro events to avoid circularly treating extant state abundance as repeated origin",H_MICRO_MACRO_REUSE;Issue4
META08_VISIBLE_HUE_FUNCTION,"Does human-visible W/A/Y deterministically encode pollinator/reproductive function?",deterministic_mapping_rejected,"7-taxon primary-evidence seed: A and Y contain multiple pollinator-function classes; 2/3 multi-taxon visible states are heterogeneous; exact global association P=0.4857 is unresolved, not evidence of independence",yes_to_reject_determinism,new_standardized_trait_measurement_for_predictive_comparison,"standardized petal reflectance including UV, nectar/reward, flowering phenology and effective pollinator contribution across the same species","needed to test which latent sensory variables predict function better than hue and to estimate genus-level frequencies",H_STATE_ALIASING;H_SELECTION_TARGET;Issue9
META09_REPRODUCTIVE_VS_CLIMATIC_NICHE,"Are flower-colour changes more closely associated with reproductive/sensory niche turnover than climatic niche innovation?",priority_hypothesis_not_resolved,"visible A/W thermal screens are null and same-hue functional collisions exist, making reproductive-niche turnover plausible; literature-ascertained pollinator seed cannot compare event frequencies",no,new_standardized_trait_measurement_plus_phylogenomics,"spectra/UV, effective pollinator contribution, nectar/reward, phenology and validated climate/light axes for a shared phylogenetic species set","requires branch-matched reproductive and abiotic event rates measured on comparable taxa",H_REPRODUCTIVE_NICHE;Issue9
META10_DIRECT_CLIMATE_SELECTION,"Is anthocyanin-like red/pink a genus-wide cold-climate enabler?",not_supported_as_general_rule,"provenance-aware A-W thermal tests, section-relative displacement and within-section coupling fail to support a general red/cold or red/niche-expansion rule",yes_to_reject_current_general_visible_hue_model,branch_specific_trait_and_environment_data,"mechanistic pigment axes plus validated cold/UV/light/water events on nuclear branches","needed only for conditional lineage-specific effects; the universal visible-hue model is already weakened/not supported",H_COLD_UNIVERSAL;H_COLD_CONDITIONAL;Issue5
