code,published_taxon,original_habitat,country_or_region,soil_type,srr,bioproject,biosample,sra_scientific_name,archive_taxon_status,tissue,visible_colour_group,taxonomic_independence_status,taxonomic_note,phylogenetic_use,mechanistic_use,source_id
A1,Camellia insularis,Northeast Vietnam,Vietnam,acid,SRR27212634,PRJNA1050624,SAMN38748754,Camellia insularis,exact,leaf,golden_yellow,needs_vietnam_taxonomy_audit,"Vietnamese accession; not resolved by the China-only 2025 species circumscription",retain_with_flag,"coding-pathway presence/sequence only; no petal expression",SRC_CAM_2025_GOLDEN20
A2,Camellia macrophylla,"Fangchenggang City and Shiwan Mountain, Guangxi",China,acid,SRR27212633,PRJNA1050624,SAMN38748755,Camellia petelotii,mismatch,leaf,golden_yellow,needs_taxonomy_audit,"Published transcriptome name retained pending authority-backed reconciliation; current SRA ScientificName is C. petelotii",retain_with_flag,"coding-pathway presence/sequence only; no petal expression",SRC_CAM_2025_GOLDEN20
A3,Camellia achrysantha,"Zhongdong Town, Fusui County, Guangxi",China,calcareous_limestone,SRR27212622,PRJNA1050624,SAMN38748756,Camellia sp. MS-2023b,coarse_or_unresolved,leaf,golden_yellow,tentatively_independent,"2025 taxonomic revision treats C. achrysantha as a species but notes very close relationship to C. perpetua; current SRA taxonomy is unresolved Camellia sp.",retain_with_flag,"coding-pathway presence/sequence only; no petal expression",SRC_CAM_2025_GOLDEN20
A4,Camellia euphlebia,"Dongxing City, Guangxi",China,acid,SRR27212621,PRJNA1050624,SAMN38748757,Camellia euphlebia,exact,leaf,golden_yellow,identity_uncertain,"2025 revision notes ITS/cpGenome evidence suggesting conspecificity with C. fascicularis may reflect sample misidentification",retain_with_flag,"coding-pathway presence/sequence only; no petal expression",SRC_CAM_2025_GOLDEN20
A5,Camellia parvifolia,"Longzhou County, Guangxi",China,calcareous_limestone,SRR27212620,PRJNA1050624,SAMN38748758,Camellia transarisanensis,mismatch,leaf,golden_yellow,needs_taxonomy_audit,"Published transcriptome name retained pending reconciliation; current SRA ScientificName is C. transarisanensis",retain_with_flag,"coding-pathway presence/sequence only; no petal expression",SRC_CAM_2025_GOLDEN20
A6,Camellia changtsoansis,"Chongzuo City, Guangxi",China,calcareous_limestone,SRR27212619,PRJNA1050624,SAMN38748759,Camellia ptilosperma,mismatch,leaf,golden_yellow,needs_taxonomy_audit,"Published transcriptome name retained pending reconciliation; current SRA ScientificName is C. ptilosperma",retain_with_flag,"coding-pathway presence/sequence only; no petal expression",SRC_CAM_2025_GOLDEN20
A7,Camellia longgangensis,"Longzhou County, Guangxi",China,calcareous_limestone,SRR27212618,PRJNA1050624,SAMN38748760,Camellia longgangensis,exact,leaf,golden_yellow,synonym_not_independent,"2025 revision treats C. longgangensis as a synonym of C. flavida",do_not_count_as_independent_origin,"use as within-complex sequence sample; no petal expression",SRC_CAM_2025_GOLDEN20
A8,Camellia limonia,"Longzhou County and Ningming County, Guangxi",China,calcareous_limestone,SRR27212617,PRJNA1050624,SAMN38748761,Camellia limonia,exact,leaf,golden_yellow,species_complex_or_reticulate,"2025 revision keeps C. limonia in an unresolved relationship with C. indochinensis; multiple positions occur in some datasets",retain_with_flag,"coding-pathway presence/sequence only; no petal expression",SRC_CAM_2025_GOLDEN20
A9,Camellia pubipetala,"Long'an County and Daxin County, Guangxi",China,calcareous_limestone,SRR27212616,PRJNA1050624,SAMN38748762,Camellia pubipetala,exact,leaf,golden_yellow,reticulation_or_identity_flag,"2025 revision reports repeated positions in ITS/cpGenome datasets; exact identity/history requires audit",retain_with_flag,"coding-pathway presence/sequence only; no petal expression",SRC_CAM_2025_GOLDEN20
A10,Camellia longruiensis,"Ningming County, Guangxi",China,calcareous_limestone,SRR27212615,PRJNA1050624,SAMN38748763,Camellia sp. 'longruiensis',informal_or_unresolved,leaf,golden_yellow,synonym_not_independent,"2025 revision treats C. longruiensis as a synonym of C. flavida; current SRA ScientificName is an informal Camellia sp. 'longruiensis'; the 2026 mechanistic study nevertheless uses C. longruiensis",do_not_count_as_independent_origin,"high-value bridge to published WRKY23-FLS mechanism; leaf sequence only",SRC_CAM_2025_GOLDEN20
A11,Camellia longanensis,"Long'an County, Guangxi",China,calcareous_limestone,SRR27212632,PRJNA1050624,SAMN38748764,Camellia longgangensis,mismatch,leaf,golden_yellow,needs_taxonomy_audit,"Published transcriptome name C. longanensis conflicts with current SRA ScientificName C. longgangensis",retain_with_flag,"coding-pathway presence/sequence only; no petal expression",SRC_CAM_2025_GOLDEN20
A12,Camellia longzhouensis,"Longzhou County, Guangxi",China,calcareous_limestone,SRR27212631,PRJNA1050624,SAMN38748765,Camellia longzhouensis,exact,leaf,golden_yellow,hybrid_or_synonym_not_independent,"2025 revision states C. longzhouensis is probably a C. chrysanthoides variant and may represent C. chrysanthoides × C. ptilosperma/C. flavida; conclusion lists it among synonyms",do_not_count_as_independent_origin,"use as reticulation test sample; no petal expression",SRC_CAM_2025_GOLDEN20
A13,Camellia fusuiensis,"Fusui County, Guangxi",China,calcareous_limestone,SRR27212630,PRJNA1050624,SAMN38748766,Camellia sp. MS-2023b,coarse_or_unresolved,leaf,golden_yellow,reticulation_or_identity_flag,"2025 revision reports C. fusuiensis in multiple ITS positions; current SRA taxonomy is unresolved Camellia sp.",retain_with_flag,"coding-pathway presence/sequence only; no petal expression",SRC_CAM_2025_GOLDEN20
A14,Camellia enchengensis,"Daxin County, Guangxi",China,calcareous_limestone,SRR27212629,PRJNA1050624,SAMN38748767,Camellia enchengensis (nom. ined.),nomenclatural_flag,leaf,golden_yellow,needs_taxonomy_audit,"Current SRA ScientificName explicitly marks C. enchengensis as nom. ined.; retain published label only as a sampled accession pending nomenclatural audit",retain_with_flag,"coding-pathway presence/sequence only; no petal expression",SRC_CAM_2025_GOLDEN20
A15,Camellia tunghinensis,"Dongxing City, Guangxi",China,acid,SRR27212628,PRJNA1050624,SAMN38748768,Camellia indochinensis var. tunghinensis,mismatch_but_revision_supports_species,leaf,golden_yellow,tentatively_independent,"2025 revision explicitly supports C. tunghinensis at species level and rejects its treatment as a variety of Vietnamese C. indochinensis; current SRA retains the older varietal taxonomy",retain,"coding-pathway presence/sequence only; no petal expression",SRC_CAM_2025_GOLDEN20
A16,Camellia terminalis,"Tiandeng County, Guangxi",China,calcareous_limestone,SRR27212627,PRJNA1050624,SAMN38748769,Camellia pingguoensis,mismatch_but_revision_supports_species,leaf,golden_yellow,tentatively_independent,"2025 revision explicitly supports C. terminalis at species level and rejects treatment as a variety/part of C. pingguoensis; current SRA ScientificName is C. pingguoensis",retain,"coding-pathway presence/sequence only; no petal expression",SRC_CAM_2025_GOLDEN20
A17,Camellia limonia f. obovata,"Fusui County, Guangxi",China,calcareous_limestone,SRR27212626,PRJNA1050624,SAMN38748770,Camellia limonia f. obovata,exact,leaf,golden_yellow,form_not_independent,"Form-level taxon nested in the unresolved C. limonia complex; not admissible as an independent colour origin",do_not_count_as_independent_origin,"within-complex sequence comparison only",SRC_CAM_2025_GOLDEN20
