run,biosample,archive_sample_name,dependence_cluster,condition_id,visible_observation,stage,replicate,mapping_status,mapping_basis
SRR10752667,SAMN13663796,BTP11,CSIN_WHITE_PINK,CS_PINK_S1,pink,S1,1,resolved,"paper genotype/color + archive SampleName stage/replicate code"
SRR10752666,SAMN13663797,BTP12,CSIN_WHITE_PINK,CS_PINK_S1,pink,S1,2,resolved,"paper genotype/color + archive SampleName stage/replicate code"
SRR10752660,SAMN13663798,BTP13,CSIN_WHITE_PINK,CS_PINK_S1,pink,S1,3,resolved,"paper genotype/color + archive SampleName stage/replicate code"
SRR10752659,SAMN13663799,BTP21,CSIN_WHITE_PINK,CS_PINK_S2,pink,S2,1,resolved,"paper genotype/color + archive SampleName stage/replicate code"
SRR10752658,SAMN13663800,BTP22,CSIN_WHITE_PINK,CS_PINK_S2,pink,S2,2,resolved,"paper genotype/color + archive SampleName stage/replicate code"
SRR10752657,SAMN13663801,BTP23,CSIN_WHITE_PINK,CS_PINK_S2,pink,S2,3,resolved,"paper genotype/color + archive SampleName stage/replicate code"
SRR10752656,SAMN13663802,BTP31,CSIN_WHITE_PINK,CS_PINK_S3,pink,S3,1,resolved,"paper genotype/color + archive SampleName stage/replicate code"
SRR10752655,SAMN13663803,BTP32,CSIN_WHITE_PINK,CS_PINK_S3,pink,S3,2,resolved,"paper genotype/color + archive SampleName stage/replicate code"
SRR10752654,SAMN13663804,BTP33,CSIN_WHITE_PINK,CS_PINK_S3,pink,S3,3,resolved,"paper genotype/color + archive SampleName stage/replicate code"
SRR10752653,SAMN13663805,BTP41,CSIN_WHITE_PINK,CS_PINK_S4,pink,S4,1,resolved,"paper genotype/color + archive SampleName stage/replicate code"
SRR10752665,SAMN13663806,BTP42,CSIN_WHITE_PINK,CS_PINK_S4,pink,S4,2,resolved,"paper genotype/color + archive SampleName stage/replicate code"
SRR10752664,SAMN13663807,BTP43,CSIN_WHITE_PINK,CS_PINK_S4,pink,S4,3,resolved,"paper genotype/color + archive SampleName stage/replicate code"
SRR10752663,SAMN13663808,BTP51,CSIN_WHITE_PINK,CS_PINK_S5,pink,S5,1,resolved,"paper genotype/color + archive SampleName stage/replicate code"
SRR10752662,SAMN13663809,BTP52,CSIN_WHITE_PINK,CS_PINK_S5,pink,S5,2,resolved,"paper genotype/color + archive SampleName stage/replicate code"
SRR10752661,SAMN13663810,BTP53,CSIN_WHITE_PINK,CS_PINK_S5,pink,S5,3,resolved,"paper genotype/color + archive SampleName stage/replicate code"
SRR10758372,SAMN13671706,ZJW11,CSIN_WHITE_PINK,CS_WHITE_S1,white,S1,1,resolved,"paper genotype/color + archive SampleName stage/replicate code"
SRR10758371,SAMN13671707,ZJW12,CSIN_WHITE_PINK,CS_WHITE_S1,white,S1,2,resolved,"paper genotype/color + archive SampleName stage/replicate code"
SRR10758365,SAMN13671708,ZJW13,CSIN_WHITE_PINK,CS_WHITE_S1,white,S1,3,resolved,"paper genotype/color + archive SampleName stage/replicate code"
SRR10758364,SAMN13671709,ZJW21,CSIN_WHITE_PINK,CS_WHITE_S2,white,S2,1,resolved,"paper genotype/color + archive SampleName stage/replicate code"
SRR10758363,SAMN13671710,ZJW22,CSIN_WHITE_PINK,CS_WHITE_S2,white,S2,2,resolved,"paper genotype/color + archive SampleName stage/replicate code"
SRR10758362,SAMN13671711,ZJW23,CSIN_WHITE_PINK,CS_WHITE_S2,white,S2,3,resolved,"paper genotype/color + archive SampleName stage/replicate code"
SRR10758361,SAMN13671712,ZJW31,CSIN_WHITE_PINK,CS_WHITE_S3,white,S3,1,resolved,"paper genotype/color + archive SampleName stage/replicate code"
SRR10758360,SAMN13671713,ZJW32,CSIN_WHITE_PINK,CS_WHITE_S3,white,S3,2,resolved,"paper genotype/color + archive SampleName stage/replicate code"
SRR10758359,SAMN13671714,ZJW33,CSIN_WHITE_PINK,CS_WHITE_S3,white,S3,3,resolved,"paper genotype/color + archive SampleName stage/replicate code"
SRR10758358,SAMN13671715,ZJW41,CSIN_WHITE_PINK,CS_WHITE_S4,white,S4,1,resolved,"paper genotype/color + archive SampleName stage/replicate code"
SRR10758370,SAMN13671716,ZJW42,CSIN_WHITE_PINK,CS_WHITE_S4,white,S4,2,resolved,"paper genotype/color + archive SampleName stage/replicate code"
SRR10758369,SAMN13671717,ZJW43,CSIN_WHITE_PINK,CS_WHITE_S4,white,S4,3,resolved,"paper genotype/color + archive SampleName stage/replicate code"
SRR10758368,SAMN13671718,ZJW51,CSIN_WHITE_PINK,CS_WHITE_S5,white,S5,1,resolved,"paper genotype/color + archive SampleName stage/replicate code"
SRR10758367,SAMN13671719,ZJW52,CSIN_WHITE_PINK,CS_WHITE_S5,white,S5,2,resolved,"paper genotype/color + archive SampleName stage/replicate code"
SRR10758366,SAMN13671720,ZJW53,CSIN_WHITE_PINK,CS_WHITE_S5,white,S5,3,resolved,"paper genotype/color + archive SampleName stage/replicate code"
