screen_id,year,taxon,citation,source_type,language,doi_or_url,evidence_scope,decision,independence_cluster,afcp_axis_if_any,eligible_new_directional_cluster,candidate_free_eligible,ecology_role,verification_level,reason
CNG001,1977,Camellia oleifera,"Wu YR. 油茶传粉蜜蜂的鉴别及地蜂属四个新种 [Pollinating bees on Camellia oleifera with descriptions of four new Andrena species]. 昆虫学报 20(2):199-204.",journal_article,Chinese,"https://pollinatorinsects.wordpress.com/%E5%90%B4%E7%87%95%E5%A6%82%E7%A0%94%E7%A9%B6%E5%91%98%E8%AE%BA%E6%96%87%E3%80%81%E8%AE%BA%E8%91%97/",pollination_history,ecology_context,OIL_CAMELLIA_POLLINATION,none,no,no,historical_pollinator_identity,"secondary reviews + author bibliography","Foundational pollinator-identification evidence; no flower-colour manipulation and no A/F/C/P molecular contrast."
CNG002,2011,Camellia nitidissima,"Zhou XW, Li JY, Fan Z. Cloning and expression analysis of chalcone synthase gene cDNA from Camellia nitidissima. Biotechnology Bulletin 6:58-64.",journal_article,Chinese,10.13560/j.cnki.biotech.bull.1985.2011.06.005,shared_upstream_flavonoid_gene,auxiliary_same_cluster_upstream,CNITIDISSIMA,none,no,no,none,"peer-reviewed reference chain in Zhou et al. 2017","CHS is shared upstream of the prespecified A/F/C/P modules and the study does not define an independent canonically oriented flower-colour contrast."
CNG003,2012,Camellia nitidissima,"Zhou XW, Li JY, Fan Z. Cloning and expression analysis of chalcone isomerase gene cDNA from Camellia nitidissima. Forest Research 25:93-99.",journal_article,Chinese,10.13275/j.cnki.lykxyj.2012.01.010,shared_upstream_flavonoid_gene,auxiliary_same_cluster_upstream,CNITIDISSIMA,none,no,no,none,"peer-reviewed reference chain in Zhou et al. 2017","CHI is shared upstream of A/F/P branch separation and remains within the already represented C. nitidissima developmental background."
CNG004,2012,Camellia nitidissima,"Zhou Xingwen. 金花茶花色相关基因的克隆及其功能研究 [Cloning and function research of pigment genes from Camellia nitidissima]. PhD dissertation, Chinese Academy of Forestry.",doctoral_thesis,Chinese,"https://gxnb.cbpt.cnki.net/portal/journal/portal/client/paper/44a0a475666cf2b786d7edbe798f9052",umbrella_candidate_gene_function,grey_literature_same_cluster,CNITIDISSIMA,mixed_candidate_genes,no,no,none,"secondary indexed citation + institutional biography","The thesis is important grey-literature provenance for the same C. nitidissima candidate-gene programme; it is not a distinct evolutionary replicate and no auditable public raw RNA-seq dataset was identified."
CNG005,2013,Camellia nitidissima,"Zhou X et al. Functional analyses of a flavonol synthase-like gene from Camellia nitidissima reveal its roles in flavonoid metabolism during floral pigmentation. Journal of Biosciences 38:593-604.",journal_article,English,10.1007/s12038-013-9339-2,functional_flavonol_gene,already_screened_same_cluster,CNITIDISSIMA,F,no,no,none,primary_peer_reviewed,"Direct FLS/flavonol functional evidence, already logged as SCR008; same taxon/developmental mechanism background, so it strengthens F feasibility without adding an independence cluster."
CNG006,2015,Camellia nitidissima,"Zhou X, Yin H, Zhu Y, Li J. Cloning and Expression Analysis of Flavanone 3-hydroxylase Gene CnF3H from Camellia nitidissima. Molecular Plant Breeding 13:2051-2057.",journal_article,Chinese,10.13271/j.mpb.013.002051,shared_upstream_flavonoid_gene,auxiliary_same_cluster_upstream,CNITIDISSIMA,none,no,no,none,"peer-reviewed reference chain in Zhou et al. 2017","F3H is upstream of the prespecified module split and the evidence comes from the same C. nitidissima lineage/developmental programme."
CNG007,2015,Camellia nitidissima,"Zhou XW, Li JY, Zhu YL. Cloning and Genetic Transformation of CnCHS Gene from Camellia nitidissima. Bulletin of Botanical Research 35(3):327-332.",journal_article,Chinese,10.7525/j.issn.1673-5102.2015.03.002,heterologous_functional_shared_upstream,auxiliary_same_cluster_functional,CNITIDISSIMA,none,no,no,none,primary_official_journal_page,"CnCHS was cloned from petals and transformed into tobacco, but this establishes upstream pathway feasibility rather than a matched directional Camellia A/F/C/P signature or new lineage origin."
CNG008,2018,Camellia oleifera,"Huang B et al. 油茶花青素还原酶基因克隆和体外功能研究 [Cloning and in-vitro functional analysis of anthocyanidin reductase genes from Camellia oleifera]. 茶业通报 40(2):71-76.",journal_article,Chinese,10.16015/j.cnki.jteabusiness.2018.0023,functional_anr,auxiliary_functional_no_colour_contrast,OIL_CAMELLIA_ANR_FUNCTION,P,no,no,none,primary_CNKI_journal_portal,"CoANR1/2 establish P-axis catalytic feasibility but there is no matched petal-colour contrast, canonical transition direction, or independent recurrence signature."
CNG009,2021,Camellia nitidissima,"Jiang L et al. Flavonoid 3'-hydroxylase of Camellia nitidissima Chi. promotes the synthesis of polyphenols better than flavonoids. Molecular Biology Reports 48:3903-3912.",journal_article,English,10.1007/s11033-021-06345-6,shared_upstream_flavonoid_function,auxiliary_same_cluster_upstream,CNITIDISSIMA,none,no,no,none,primary_peer_reviewed,"CnF3'H expression and heterologous function refine flavonoid chemistry in the same C. nitidissima background but F3'H is not one of the frozen A/F/C/P module-defining families and does not add an independent contrast."
CNG010,2023,Camellia nitidissima,"Li B et al. Cloning, Subcellular Localization and Expression Analysis of CnbHLH79 Transcription Factor from Camellia nitidissima. Biotechnology Bulletin 39(8):241.",journal_article,Chinese,"https://biotech.aiijournal.com/EN/Y2023/V39/I8/241",regulatory_factor_developmental_correlation,auxiliary_same_cluster_regulator,CNITIDISSIMA,regulator_outside_axes,no,no,none,primary_official_journal_page,"CnbHLH79 expression covaries with petal b* and Qu7G across flowering stages, but it is an upstream regulator in the already represented C. nitidissima developmental cluster rather than a new A/F/C/P replicate."
