scope,metric,model,n_species,r2,adj_r2,global_p,aic,delta_aic
all_WAY,bio1_median,null,50,0,0,,214.684679,0
all_WAY,bio1_median,colour,50,0.0682414,0.0285921,0.189946,215.150605,0.465926
all_WAY,bio1_median,section,50,0.275905,0.112984,0.122716,216.54303,1.858351
all_WAY,bio1_median,section+colour,50,0.276232,0.0906503,0.180591,218.520468,3.835789
all_WAY,bio6_median,null,50,0,0,,248.46604,1.423549
all_WAY,bio6_median,colour,50,0.102795,0.0646161,0.0781545,247.042491,0
all_WAY,bio6_median,section,50,0.203381,0.0241417,0.362012,255.097102,8.054611
all_WAY,bio6_median,section+colour,50,0.203422,-0.000829131,0.463499,257.094546,10.052056
all_WAY,bio6_q05,null,50,0,0,,291.812738,0
all_WAY,bio6_q05,colour,50,0.0277454,-0.0136271,0.516214,294.405859,2.593121
all_WAY,bio6_q05,section,50,0.217243,0.0411222,0.302732,297.566113,5.753375
all_WAY,bio6_q05,section+colour,50,0.223377,0.0242427,0.37127,299.172733,7.359995
all_WAY,bio1_iqr,null,50,0,0,,161.845894,0
all_WAY,bio1_iqr,colour,50,0.0413,0.000504259,0.371145,163.73704,1.891146
all_WAY,bio1_iqr,section,50,0.239712,0.0686471,0.220195,166.143,4.297106
all_WAY,bio1_iqr,section+colour,50,0.244535,0.0508255,0.28467,167.824829,5.978935
AW_only,bio1_median,null,48,0,0,,203.782367,0
AW_only,bio1_median,colour,48,0.00135085,-0.0203589,0.804126,205.717482,1.935115
AW_only,bio1_median,section,48,0.228734,0.0705257,0.208825,207.315707,3.53334
AW_only,bio1_median,section+colour,48,0.229092,0.0465083,0.292674,209.29344,5.511074
AW_only,bio6_median,null,48,0,0,,233.89561,0
AW_only,bio6_median,colour,48,0.00888305,-0.012663,0.524,235.467319,1.571708
AW_only,bio6_median,section,48,0.124467,-0.0551296,0.695229,243.515337,9.619726
AW_only,bio6_median,section+colour,48,0.124514,-0.0828383,0.78844,245.512771,11.617161
AW_only,bio6_q05,null,48,0,0,,277.998231,0
AW_only,bio6_q05,colour,48,0.0283685,0.00724612,0.252477,278.616853,0.618622
AW_only,bio6_q05,section,48,0.235114,0.0782142,0.189366,281.132869,3.134638
AW_only,bio6_q05,section+colour,48,0.241807,0.0622344,0.24649,282.71103,4.712799
AW_only,bio1_iqr,null,48,0,0,,153.853172,0
AW_only,bio1_iqr,colour,48,0.00310714,-0.0185644,0.706692,155.703798,1.850625
AW_only,bio1_iqr,section,48,0.216787,0.0561276,0.249037,158.124363,4.271191
AW_only,bio1_iqr,section+colour,48,0.22198,0.0377127,0.320695,159.804998,5.951825
