study_id,year,taxon,ecological_axis,design,quantitative_status,primary_outcome,admission_status,source,role,claim_ceiling
Kunitake2004,2004,Camellia japonica,pollinator_service,bird_exclusion_plus_visit_gradient,effect_size_partial,fruit_set,admit_primary,10.1111/j.1442-1984.2004.00115.x,"bird contribution to fruit set; visit-response saturation","one temperate population system; not a genus-wide bird syndrome"
Abe2013,2013,Camellia japonica,disturbance_pollination_context,field_genetics_across_volcanic_disturbance,context_quantitative,pollen_flow_and_paternal_diversity,admit_context,10.1371/journal.pone.0062696,"disturbance changes bird movement and pollen-flow context","not a flower-colour manipulation"
Xie2013,2013,Camellia oleifera,pollinator_reliability,regional_gradient_plus_pollen_supplement,gradient_quantitative,pollen_limitation,admit_primary,https://www.fspublishers.org/paper/172,"pollinator scarcity predicts pollen limitation; phenology/habitat mechanism proposed","agroecosystem regional comparison; climate and habitat co-vary"
Wang2014,2014,Camellia oleifera,breeding_system,controlled_self_cross_open_pollination,effect_size_context,fruit_seed_set,admit_context,10.1371/journal.pone.0099639,"cross-compatible pollen raises fruit and seed set relative to open/self pollination","controlled compatibility contrast; not simple pollen supplementation"
Berruti2015,2015,Camellia japonica,abiotic_pigment_manipulation,cold_dark_duration_experiment,magnitude_only,petal_anthocyanin,admit_with_confound,10.3389/fpls.2015.00983,"flowering environment alters petal anthocyanin deployment","cold and darkness are confounded"
Sun2017,2017,Camellia petelotii,pollinator_service_weather,bird_exclusion_plus_weather_observation,effect_size_partial,fruit_seed_set,admit_primary,10.3732/ajb.1600428,"bird service plus weather-sensitive bee visitation","one golden-flowered wild system"
Chai2019,2019,Camellia pubipetala,pollen_limitation,supplemental_pollination_plus_visitation,effect_size_with_counts,fruit_set,admit_primary,10.1111/1442-1984.12247,"severe pollen limitation and low pollinator visitation","endangered yellow species; small populations"
Li2021BAAE,2021,Camellia oleifera,insect_pollinator_efficiency,single_visit_and_behaviour,effect_size_extract_needed,pollen_transfer,admit_context,10.1016/j.baae.2021.08.005,"wild bees versus managed Apis efficiency","agricultural field system; not direct fruit-set exclusion"
Li2021JAE,2021,Camellia oleifera,pollinator_reliability,two_year_wild_bee_abundance_gradient,context_quantitative,fruit_set,admit_replication,10.1111/jen.12849,"wild-bee abundance and nesting proximity track fruit set across canopy layers","one agricultural species; correlation rather than manipulation"
Mori2023,2023,"Camellia rusticana;Camellia japonica",sensory_pollinator_aliasing,paired_same_hue_choice_plus_spectra,effect_size_partial,bumblebee_choice,admit_primary,10.1016/j.phytochem.2022.113559,"same visible red state has >20-fold bee-choice contrast and different UV/fluorescence","paired species contrast; pollinator choice not lifetime fitness"
Zhang2024,2024,Camellia oleifera,pollinator_service_conflict,bird_exclusion_plus_pollen_toxicity,effect_size_partial,fruit_seed_set,admit_primary,10.1111/jipb.13731,"bird contribution plus anti-bee pollen toxicity","brief study; simple ratio SE is not directly reported"
Jiang2025,2025,Camellia perpetua,season_weather_pollination,seasonal_field_comparison,effect_size_partial,nectar_and_reproduction,admit_primary,10.1016/j.flora.2025.152727,"winter vs summer changes nectar, bird weighting, fruit/seed set","season correlational; exact reproductive means/sample sizes still to extract"
Yuan2025,2025,Camellia hainanica,climate_phenology_pollination,translocation_quasi_experiment,effect_size_partial,pollinator_visits_pollen_deposition_fruit_set,admit_mediation,10.3390/agriculture15161717,"cooler transplanted site delays anthesis 45 d; visits -92%; pollen deposition -57%; natural fruit set 0; hand cross 11%","range-expansion quasi-experiment; multiple site factors co-vary and flower colour is not manipulated"
Liu2025,2025,Camellia oleifera,pollinator_service_replication,three_year_managed_Apis_cerana_cage_and_open_field,effect_size_partial,fruit_set,admit_replication,10.3390/insects16101028,"managed eastern honey bees increase fruit set; exact 2020-2021 cage and open-field means available","same species as several existing C. oleifera studies; use as within-species replication, not independent genus-level species"
Bombus2025,2025,Camellia oleifera,pollinator_service_replication,managed_Bombus_terrestris_field_introduction,effect_size_range,fruit_set,admit_context,https://cnki.istiz.org.cn/kcms/detail/detail.aspx?dbcode=CJFQ&dbname=CJFD2025&filename=KCXB202503007,"single visits deposit 872.92±272.73 pollen grains and fruit set increases 10-27% within 35 m of nests","range rather than standardized control effect; independent managed-pollinator corroboration"
Wickramaratne1985,1985,Camellia sinensis,insect_pollination_context,seed_garden_field_observation,descriptive,visitor_efficiency,admit_context,https://journals.sta.uwi.edu/ojs/index.php/ta/article/view/2241,"seasonal insect pollinator context in tea","cultivated seed-garden evidence; no standardized effect size"
