target_contrast,predictor,loo_rmse_model,loo_rmse_intercept,relative_loo_improvement,slope,slope_p,r2
fine_minus_coarse,log_n_tips,0.042736820051007006,0.04198517476982383,-0.01790263552084602,0.012520416293044342,0.330572983383378,0.03643393722949438
fine_minus_coarse,pair_distance_cv,0.04414083453653335,0.04198517476982383,-0.051343355804222245,-0.04030611893101624,0.5330532398692712,0.015119183986402362
fine_minus_coarse,branch_length_cv,0.04262613227676642,0.04198517476982383,-0.015266281740079062,-0.054377154304519,0.2157974969969621,0.058296621634078026
fine_minus_coarse,root_to_tip_cv,0.05356414396312864,0.04198517476982383,-0.2757870904857352,800044998.1824206,0.5392172904059293,0.014672118067504741
intermediate_minus_coarse,log_n_tips,0.04143873866179038,0.040189980735027234,-0.031071374106800807,0.004271845821070492,0.7308543042015092,0.0046286681136031875
intermediate_minus_coarse,pair_distance_cv,0.04297960785521621,0.040189980735027234,-0.06941100914133318,-0.01398332892546896,0.8218471464214694,0.001985929694955614
intermediate_minus_coarse,branch_length_cv,0.04059149918248812,0.040189980735027234,-0.009990511070609805,-0.051001878692332754,0.22548840382563154,0.055967913670662325
intermediate_minus_coarse,root_to_tip_cv,0.042642675961582874,0.040189980735027234,-0.061027529292095796,-420476288.98432386,0.7366917880413874,0.0044228615037739
fine_minus_intermediate,log_n_tips,0.020234222477622667,0.02075916508628968,0.025287269814801446,0.008248570471973853,0.19154095536014037,0.0646841851385851
fine_minus_intermediate,pair_distance_cv,0.020854883126582718,0.02075916508628968,-0.004610881020270632,-0.026322790005547287,0.40896783204599874,0.026376817329278376
fine_minus_intermediate,branch_length_cv,0.02121600375263131,0.02075916508628968,-0.02200660115388486,-0.0033752756121862557,0.8783090568810744,0.0009187578942363327
fine_minus_intermediate,root_to_tip_cv,0.02733388087303544,0.02075916508628968,-0.316713883213348,1220521287.1667452,0.05010009239148501,0.13967763292204594
