target_id,pathway,module,gene_or_family,reference_accession,reference_taxon,evidence_role,positive_evidence_interpretation,negative_evidence_interpretation,priority,notes
PIG001,flavonoid,entry,PAL,,Camellia nitidissima,core_precursor,"coding presence supports conserved phenylpropanoid entry","non-detection in leaf RNA-seq is missing expression evidence",secondary,"Broad precursor gene; not flower-colour specific."
PIG002,flavonoid,entry,C4H,,Camellia nitidissima,core_precursor,"coding presence supports conserved phenylpropanoid entry","non-detection in leaf RNA-seq is missing expression evidence",secondary,"Broad precursor gene; not flower-colour specific."
PIG003,flavonoid,entry,4CL,,Camellia nitidissima,core_precursor,"coding presence supports conserved phenylpropanoid entry","non-detection in leaf RNA-seq is missing expression evidence",secondary,"Broad precursor gene; not flower-colour specific."
PIG004,flavonoid,core,CHS,,Camellia nitidissima,structural_pathway,"coding presence supports retained flavonoid capacity","absence from transcriptome alone cannot establish gene loss",high,"Screen orthology/copy structure across Camellia datasets and lineages."
PIG005,flavonoid,core,CHI,,Camellia nitidissima,structural_pathway,"coding presence supports retained flavonoid capacity","absence from transcriptome alone cannot establish gene loss",high,"Screen orthology/copy structure across Camellia datasets and lineages."
PIG006,flavonoid,core,F3H,,Camellia nitidissima,structural_pathway,"coding presence supports retained dihydroflavonol production","absence from transcriptome alone cannot establish gene loss",high,"Shared upstream node before FLS versus DFR allocation."
PIG007,flavonoid,branching,F3H_family_hydroxylases,,Camellia nitidissima,substrate_modification,"copy/expression differences may alter pigment substrate spectrum","absence from leaf expression is not loss",secondary,"Resolve F3'H and F3'5'H separately when annotation permits."
PIG008,flavonoid,yellow_branch,FLS/JF343560.1,JF343560.1,Camellia nitidissima,functionally_validated_reference,"homolog presence/copy sequence enables direct comparison to experimentally characterized CnFLS/CnFLS1","non-detection in leaf RNA-seq cannot establish genomic absence",highest,"Full-length petal cDNA accession JF343560.1; functional experiments support increased flavonols and reduced anthocyanins when overexpressed."
PIG009,flavonoid,yellow_branch,CnFLS2,,Camellia nitidissima,functionally_validated_petal_gene,"T2T-genome homolog plus petal-stage expression can anchor the modern FLS paralog map","lack of exact public accession must remain unresolved until T2T annotation/homology identifies the locus",highest,"2024 multi-omics study reports four FLS genes and identifies CnFLS2 as the petal-high paralog with functional overexpression evidence."
PIG010,flavonoid,anthocyanin_branch,DFR,,Camellia nitidissima,branch_competitor_to_FLS,"coding retention with low flower expression is compatible with regulatory/flux suppression rather than irreversible loss","leaf non-detection is missing evidence",highest,"Direct competitor for dihydroflavonol substrates relative to FLS."
PIG011,flavonoid,anthocyanin_branch,ANS/LDOX,,Camellia nitidissima,anthocyanin_structural,"coding retention can falsify simple structural-loss models when securely identified","leaf non-detection is missing evidence",highest,"Use petal expression to distinguish yellow/white suppression from coding loss."
PIG012,flavonoid,anthocyanin_branch,UFGT,,Camellia nitidissima,anthocyanin_stabilization,"coding/expression evidence supports downstream anthocyanin competence","leaf non-detection is missing evidence",high,"Annotation may split family members; require orthology/domain support."
PIG013,flavonoid,proanthocyanidin_branch,ANR,,Camellia nitidissima,alternative_flavonoid_sink,"developmental expression helps quantify flux alternatives to anthocyanin/flavonol","leaf non-detection is missing evidence",secondary,"Useful for complete branch accounting, not a primary colour-state marker."
PIG014,flavonoid,proanthocyanidin_branch,LAR,,Camellia nitidissima,alternative_flavonoid_sink,"developmental expression helps quantify flux alternatives","leaf non-detection is missing evidence",secondary,"Useful for complete branch accounting."
PIG015,regulation,MBW,MYB_anthocyanin_regulators,,Camellia spp.,regulatory_capacity,"retained regulatory orthologs with state-dependent expression support reversible deployment","family non-detection in leaf RNA-seq is not loss",high,"Identify orthologs phylogenetically; do not infer function from MYB name alone."
PIG016,regulation,MBW,bHLH_anthocyanin_regulators,,Camellia spp.,regulatory_capacity,"retained regulatory orthologs with state-dependent expression support reversible deployment","family non-detection in leaf RNA-seq is not loss",high,"Use domain + orthology rather than annotation string alone."
PIG017,regulation,MBW,WD40_regulators,,Camellia spp.,regulatory_capacity,"retained regulatory orthologs support conserved MBW machinery","family non-detection in leaf RNA-seq is not loss",secondary,"Generally pleiotropic; interpret flower specificity cautiously."
PIG018,regulation,anthocyanin_suppression,MYB60,,Camellia spp.,published_functional_candidate,"ortholog/SV context can connect broad Camellia colour history to anthocyanin suppression mechanism","request-only 2026 population data prevent independent replication of the reported association",high,"Keep published mechanism separate from locally reproduced evidence until open sequence/provenance is available."
PIG019,regulation,flavonol_activation,WRKY23_class,,Camellia spp.,published_functional_candidate,"ortholog sequence/copy context across public yellow lineages tests whether the same regulatory architecture is broadly retained","leaf expression cannot reproduce petal regulatory activity",high,"2026 C. longruiensis study functionally supports WRKY23 activation of FLS, but broad population data are request-only."
PIG020,carotenoid,entry,PSY,,Camellia nitidissima,carotenoid_structural,"petal-stage expression can be compared with increasing carotenoid content","leaf non-detection is missing evidence",highest,"Carotenoid axis is independent of flavonol axis."
PIG021,carotenoid,desaturation,PDS,,Camellia nitidissima,carotenoid_structural,"petal-stage expression contributes to carotenoid deployment score","leaf non-detection is missing evidence",high,"Track separately from anthocyanin/flavonol genes."
PIG022,carotenoid,desaturation,Z-ISO/ZDS/CRTISO,,Camellia nitidissima,carotenoid_structural,"petal-stage expression contributes to carotenoid deployment score","leaf non-detection is missing evidence",high,"Resolve individual orthologs in annotation."
PIG023,carotenoid,cyclization,LCYB/LCYE,,Camellia nitidissima,carotenoid_branching,"petal-stage expression contributes to carotenoid composition","leaf non-detection is missing evidence",high,"Relevant to alpha-/beta-carotene branch allocation."
