cluster_id,study_id,taxon,effect_id,expected_sign,role
KUNITAKE2004,Kunitake2004,Camellia japonica,ECO_BIRD_JAPONICA_FRUIT,positive,independent_study_vote
SUN2017,Sun2017,Camellia petelotii,ECO_BIRD_PETELOTII_FRUIT,positive,independent_study_vote
ZHANG2024,Zhang2024,Camellia oleifera,ECO_BIRD_OLEIFERA_FRUIT,positive,independent_study_vote
LIU2025,Liu2025,Camellia oleifera,ECO_BEE_OLEIFERA_LIU2025_CAGE,positive,independent_study_vote
CHAI2019,Chai2019,Camellia pubipetala,ECO_PL_PUBIPETALA_FRUIT,positive,independent_study_vote
XIE2013,Xie2013,Camellia oleifera,ECO_RELIABILITY_OLEIFERA_PL_VD,negative,independent_study_vote
LI2021JAE,Li2021JAE,Camellia oleifera,ECO_BEEABUND_OLEIFERA_2018,positive,within_study_component
LI2021JAE,Li2021JAE,Camellia oleifera,ECO_BEEABUND_OLEIFERA_2019,positive,within_study_component
LI2021JAE,Li2021JAE,Camellia oleifera,ECO_BEE_DIST_OLEIFERA_2018,negative,within_study_component
LI2021JAE,Li2021JAE,Camellia oleifera,ECO_BEE_DIST_OLEIFERA_2019,negative,within_study_component
