seed_id,run,biosample,archive_sample_name,scientific_name,instrument,spots,bases,biological_group,visible_colour,developmental_stage,replicate,mapping_status,mapping_basis
CMETA001,SRR5829595,SAMN07350690,7_rep1,Camellia nitidissima,Illumina HiSeq 2500,1000000,300000000,C_nitidissima_yellow_development,yellow,S3,1,resolved,existing admitted BioSample stage mapping
CMETA001,SRR5829594,SAMN07350691,7_rep2,Camellia nitidissima,Illumina HiSeq 2500,1000000,300000000,C_nitidissima_yellow_development,yellow,S3,2,resolved,existing admitted BioSample stage mapping
CMETA001,SRR5829593,SAMN07350688,6_rep2,Camellia nitidissima,Illumina HiSeq 2500,1000000,300000000,C_nitidissima_yellow_development,yellow,S2,2,resolved,existing admitted BioSample stage mapping
CMETA001,SRR5829592,SAMN07350689,6_rep3,Camellia nitidissima,Illumina HiSeq 2500,1000000,300000000,C_nitidissima_yellow_development,yellow,S2,3,resolved,existing admitted BioSample stage mapping
CMETA001,SRR5829591,SAMN07350686,10_rep3,Camellia nitidissima,Illumina HiSeq 2500,1000000,300000000,C_nitidissima_yellow_development,yellow,S1,3,resolved,existing admitted BioSample stage mapping
CMETA001,SRR5829590,SAMN07350687,6_rep1,Camellia nitidissima,Illumina HiSeq 2500,1000000,300000000,C_nitidissima_yellow_development,yellow,S2,1,resolved,existing admitted BioSample stage mapping
CMETA001,SRR5829589,SAMN07350684,10_rep1,Camellia nitidissima,Illumina HiSeq 2500,1000000,300000000,C_nitidissima_yellow_development,yellow,S1,1,resolved,existing admitted BioSample stage mapping
CMETA001,SRR5829588,SAMN07350685,10_rep2,Camellia nitidissima,Illumina HiSeq 2500,1000000,300000000,C_nitidissima_yellow_development,yellow,S1,2,resolved,existing admitted BioSample stage mapping
CMETA001,SRR5829587,SAMN07350692,7_rep3,Camellia nitidissima,Illumina HiSeq 2500,1000000,300000000,C_nitidissima_yellow_development,yellow,S3,3,resolved,existing admitted BioSample stage mapping
CMETA001,SRR5829586,SAMN07350693,8_rep1,Camellia nitidissima,Illumina HiSeq 2500,1000000,300000000,C_nitidissima_yellow_development,yellow,S4,1,resolved,existing admitted BioSample stage mapping
CMETA001,SRR5829585,SAMN07350698,9_rep3,Camellia nitidissima,Illumina HiSeq 2500,21844645,6553393500,C_nitidissima_yellow_development,yellow,S5,3,resolved,existing admitted BioSample stage mapping
CMETA001,SRR5829584,SAMN07350694,8_rep2,Camellia nitidissima,Illumina HiSeq 2500,1000000,300000000,C_nitidissima_yellow_development,yellow,S4,2,resolved,existing admitted BioSample stage mapping
CMETA001,SRR5829583,SAMN07350695,8_rep3,Camellia nitidissima,Illumina HiSeq 2500,1000000,300000000,C_nitidissima_yellow_development,yellow,S4,3,resolved,existing admitted BioSample stage mapping
CMETA001,SRR5829582,SAMN07350696,9_rep1,Camellia nitidissima,Illumina HiSeq 2500,1000000,300000000,C_nitidissima_yellow_development,yellow,S5,1,resolved,existing admitted BioSample stage mapping
CMETA001,SRR5829581,SAMN07350697,9_rep2,Camellia nitidissima,Illumina HiSeq 2500,1000000,300000000,C_nitidissima_yellow_development,yellow,S5,2,resolved,existing admitted BioSample stage mapping
CMETA002,SRR10752667,SAMN13663796,BTP11,Camellia sinensis,Illumina HiSeq 2500,23668665,7057954060,BTP_pink,pink,S1,1,resolved,paper genotype/color + archive SampleName stage/replicate code
CMETA002,SRR10752666,SAMN13663797,BTP12,Camellia sinensis,Illumina HiSeq 2500,26153281,7804636930,BTP_pink,pink,S1,2,resolved,paper genotype/color + archive SampleName stage/replicate code
CMETA002,SRR10752665,SAMN13663806,BTP42,Camellia sinensis,Illumina HiSeq 2500,27381944,8125553048,BTP_pink,pink,S4,2,resolved,paper genotype/color + archive SampleName stage/replicate code
CMETA002,SRR10752664,SAMN13663807,BTP43,Camellia sinensis,Illumina HiSeq 2500,31911343,9513539518,BTP_pink,pink,S4,3,resolved,paper genotype/color + archive SampleName stage/replicate code
CMETA002,SRR10752663,SAMN13663808,BTP51,Camellia sinensis,Illumina HiSeq 2500,21561262,6436558604,BTP_pink,pink,S5,1,resolved,paper genotype/color + archive SampleName stage/replicate code
CMETA002,SRR10752662,SAMN13663809,BTP52,Camellia sinensis,Illumina HiSeq 2500,23149731,6873130538,BTP_pink,pink,S5,2,resolved,paper genotype/color + archive SampleName stage/replicate code
CMETA002,SRR10752661,SAMN13663810,BTP53,Camellia sinensis,Illumina HiSeq 2500,23033043,6867835118,BTP_pink,pink,S5,3,resolved,paper genotype/color + archive SampleName stage/replicate code
CMETA002,SRR10752660,SAMN13663798,BTP13,Camellia sinensis,Illumina HiSeq 2500,23869766,7124268318,BTP_pink,pink,S1,3,resolved,paper genotype/color + archive SampleName stage/replicate code
CMETA002,SRR10752659,SAMN13663799,BTP21,Camellia sinensis,Illumina HiSeq 2500,25455270,7579737926,BTP_pink,pink,S2,1,resolved,paper genotype/color + archive SampleName stage/replicate code
CMETA002,SRR10752658,SAMN13663800,BTP22,Camellia sinensis,Illumina HiSeq 2500,31208670,9316682038,BTP_pink,pink,S2,2,resolved,paper genotype/color + archive SampleName stage/replicate code
CMETA002,SRR10752657,SAMN13663801,BTP23,Camellia sinensis,Illumina HiSeq 2500,23867889,7096074108,BTP_pink,pink,S2,3,resolved,paper genotype/color + archive SampleName stage/replicate code
CMETA002,SRR10752656,SAMN13663802,BTP31,Camellia sinensis,Illumina HiSeq 2500,31292398,9352405318,BTP_pink,pink,S3,1,resolved,paper genotype/color + archive SampleName stage/replicate code
CMETA002,SRR10752655,SAMN13663803,BTP32,Camellia sinensis,Illumina HiSeq 2500,26972499,8016173786,BTP_pink,pink,S3,2,resolved,paper genotype/color + archive SampleName stage/replicate code
CMETA002,SRR10752654,SAMN13663804,BTP33,Camellia sinensis,Illumina HiSeq 2500,27206056,8119153772,BTP_pink,pink,S3,3,resolved,paper genotype/color + archive SampleName stage/replicate code
