screen_id,year,taxon_or_scope,citation,doi_or_url,evidence_type,decision,independence_cluster,usable_for,not_usable_for,reason
SCR001,1958,Camellia japonica,"Endo. Separation of Anthocyanin and Leucoanthocyanin in Flowers of Camellia japonica",10.1038/182801a0,pigment_chemistry,auxiliary_background,,"historical evidence that red and white C. japonica flowers contain different anthocyanin/leucoanthocyanin chemistry","A/F/C/P direction signature; independent evolutionary transition","Foundational chemistry but no matched transcript-state transition contrast."
SCR002,1985,Camellia chrysantha,"Miyajima et al. Yellow pigment of Camellia chrysantha flowers",https://agris.fao.org/search/en/providers/122558/records/6471bcb577fd37171a6deb82,pigment_chemistry,auxiliary_same_yellow_chemistry,GOLDEN_CHRYSANTHA_CHEMISTRY,"historical evidence that yellow colour is dominated by vacuolar flavonol chemistry with only limited carotenoid contribution","independent yellow-development transcript-state recurrence","Single yellow taxon chemistry, no matched directional expression series."
SCR003,1986,Camellia chrysantha,"Scogin. Floral Pigments of the Yellow Camellia, Camellia chrysantha",https://scholarship.claremont.edu/aliso/vol11/iss3/10,pigment_chemistry,auxiliary_same_yellow_chemistry,GOLDEN_CHRYSANTHA_CHEMISTRY,"independent chemical corroboration of flavonoids plus xanthophylls in yellow petals","new evolutionary origin or transcript-state recurrence","Same focal yellow taxon and non-directional chemistry."
SCR004,1987,"C. japonica; C. hiemalis; C. sasanqua; cultivars","Saito et al. Cyanidin 3-p-coumaroylglucoside in Camellia species and cultivars",10.1016/S0031-9422(00)83587-6,pigment_chemistry,auxiliary_red_chemistry,RED_CAMELLIA_CHEMISTRY,"historical distribution of major cyanidin pigments across red Camellia flowers","A/F/C/P direction signature; independent natural transition count","Cross-sectional pigment identification without matched evolutionary contrasts."
SCR005,1987,Section Camellia wild forms,"Sakata et al. Constitution of Anthocyanins in Flowers of the Wild Forms of Section Camellia of Japanese and Formosan Origin",10.2503/jjshs.56.208,wild_pigment_chemotaxonomy,auxiliary_macro_context,SECTION_CAMELLIA_CHEMISTRY,"wild-form anthocyanin composition and chemotaxonomic context","candidate-free RNA-seq recurrence; branch-specific mechanism","Wild chemistry is valuable context but not a standardized transcript-state contrast."
SCR006,1992,"C. chrysantha interspecific hybrids","Hwang et al. Flower colors and pigments in hybrids with Camellia chrysantha",10.1016/0304-4238(92)90123-T,hybrid_pigment_inheritance,auxiliary_feasibility,GOLDEN_HYBRID_FEASIBILITY,"short-timescale inheritance/realization of flavonol and carotenoid yellow pigment components in hybrids","independent natural yellow origin; macro transition frequency","Artificial hybrid feasibility is not an independent historical lineage transition."
SCR007,2008,Camellia chrysantha,"Nakayama et al. A Peculiar Yellow Flower Coloration of Camellia Using Aluminum-flavonoid Interaction",10.2503/jjshs1.77.402,physicochemical_pigment_mechanism,auxiliary_physicochemical,GOLDEN_CHRYSANTHA_CHEMISTRY,"Al-quercetin chelation mechanism producing deep yellow coloration","A/F/C/P transcript-state direction; new independent evolutionary origin","Important non-transcript physicochemical mechanism; same yellow focal lineage."
SCR008,2013,Camellia nitidissima,"Zhou et al. Functional analyses of a flavonol synthase-like gene from Camellia nitidissima reveal its roles in flavonoid metabolism during floral pigmentation",10.1007/s12038-013-9339-2,functional_gene_metabolite,admit_same_cluster,CNITIDISSIMA,"functional CnFLS1 evidence; flavonol increase with anthocyanin reduction; mechanistic feasibility","new independent yellow-development cluster","Same C. nitidissima mechanistic background; strengthens FLS feasibility but does not increase independent-cluster count."
SCR009,2020,Camellia sinensis,"Functional characterization of three flavonol synthase genes from Camellia sinensis: Roles in flavonol accumulation",10.1016/j.plantsci.2020.110632,functional_gene,exclude_from_flower_recurrence,,"general FLS catalytic function and flux competition in tea","flower-colour recurrence matrix","Primary biological material emphasizes shoots/leaves and heterologous tobacco rather than a matched Camellia flower-colour contrast."
SCR010,2023,Camellia oleifera,"Metabolomics Analysis Reveals the Accumulation Patterns of Flavonoids and Volatile Compounds in Camellia oleifera Petals with Different Color",10.3390/metabo13111082,pigment_metabolomics,auxiliary_pigment_context,OIL_CAMELLIA_COLOUR_CHEMISTRY,"white/candy-pink/dark-red petal flavonoid chemistry; cyanidin/peonidin plus luteolin/kaempferol context","A/F/C/P transcript-state direction signature","No transcriptomic measurement; informs visible-state chemistry but not the frozen transcript-state recurrence estimator."
SCR011,2025,Camellia genus,"Xiao et al. The molecular basis underlying phenotypic diversity in Camellia flower coloration and the evolution of research paradigms",10.1016/j.scienta.2025.114474,comprehensive_review,review_prior_art,,"citation-chaining anchor; current synthesis of DFR/FLS/MBW/flavonoid/yellow-colour literature","independent empirical replicate","Review (~180 references), therefore used to audit completeness and novelty rather than counted as evidence."
SCR012,2026,Camellia genus,"Fan et al. Transposable Element-Mediated Structural Variation Drives Flower Colour Diversification in Camellia",10.1111/pbi.70442,genus_phylogenomics_functional,direct_competitor,GENUS_237,"published genus-scale phylogeny, colour reconstruction, TE/SV regulatory mechanism and functional MYB60 evidence","locally reproduced candidate-free public raw-data result","Strong micro-to-macro prior art; raw population data request-only in current audit."
SCR013,2026,yellow Camellia,"Fan et al. A near telomere-to-telomere genome reveals yellow camellias evolution and flavonols biosynthesis",10.1016/j.indcrop.2026.123200,population_genomics_functional,direct_competitor,YELLOW79,"yellow-lineage population history and functional WRKY23-to-FLS flavonol regulation","independent reproduction from public raw population data","Strong yellow mechanism/evolution prior art; data availability states data on request."
