clade,eligible_tips,fine_states,intermediate_states,coarse_states,state_collapse_fine_to_coarse,state_collapse_fine_to_intermediate,entropy_fine,entropy_intermediate,entropy_coarse,entropy_loss_fine_to_coarse,entropy_loss_fine_to_intermediate,pair_same_q_fine,pair_same_q_intermediate,pair_same_q_coarse,collision_gain_fine_to_coarse,collision_gain_fine_to_intermediate,amplitude,scale_tilt,intermediate_curvature
Asparagus,29,2,2,2,0,0,0.58900260496473023,0.58900260496473023,0.58900260496473023,0,0,0.58620689655172409,0.58620689655172409,0.58620689655172409,0,0,0.074117146858743488,0,0
Capparis,24,2,2,2,0,0,0.60363725150032621,0.60363725150032621,0.60363725150032621,0,0,0.5688405797101449,0.5688405797101449,0.5688405797101449,0,0,-0.053497832253920741,0,0
Chrysophyllum,22,3,3,2,1,0,1.0594782926538544,1.0594782926538544,0.53595988921621696,0.52351840343763745,0,0.32900432900432902,0.32900432900432902,0.63203463203463206,0.30303030303030304,0,0.047842097510679138,0.030667255855059694,0.015333627927529792
Cissus,69,4,3,2,2,1,1.2682562908414572,0.87619945746358541,0.38721237518636065,0.88104391565509654,0.39205683337787178,0.30477408354646207,0.48209718670076729,0.76982097186700771,0.46504688832054564,0.17732310315430522,-0.017528333087008019,0.067091891687659722,0.081061031793680294
Clidemia,78,3,3,2,1,0,0.59502601358967655,0.59502601358967655,0.47061498118148126,0.12441103240819529,0,0.68531468531468531,0.68531468531468531,0.70163170163170163,0.01631701631701632,0,0.034904286405700646,0.0059871577511367846,0.0029935788755683923
Cordia,74,2,2,2,0,0,0.31304108587198165,0.31304108587198165,0.31304108587198165,0,0,0.82636060718252502,0.82636060718252502,0.82636060718252502,0,0,-0.015528635623724696,0,0
Cornus,37,2,2,2,0,0,0.48504514255633646,0.48504514255633646,0.48504514255633646,0,0,0.68468468468468469,0.68468468468468469,0.68468468468468469,0,0,0.1853070175438597,0,0
Diospyros,115,5,3,2,3,2,1.309679274801645,0.94309596744494373,0.66100547145908339,0.64867380334256164,0.3665833073567013,0.31228070175438599,0.41784897025171625,0.52768878718535472,0.21540808543096873,0.10556826849733025,0.0096531065053920839,0.0012186687582053102,-0.015370157139265261
Elaeocarpus,63,3,3,2,1,0,0.78013077952663235,0.78013077952663235,0.59826958858525725,0.18186119094137509,0,0.54838709677419351,0.54838709677419351,0.58525345622119818,0.036866359447004671,0,-0.01910853197455914,-0.011020790249839707,-0.0055103951249198535
Garcinia,54,4,3,2,2,1,1.1647133919307855,0.91440160922728297,0.64858547700331426,0.51612791492747123,0.25031178270350252,0.34311670160726765,0.4304682040531097,0.53529000698812024,0.19217330538085259,0.087351502445842055,0.029324954614830756,-0.017488074247301366,0.032291350644879868
Gaultheria,72,3,2,2,1,1,0.6895911947464386,0.54655567406131134,0.54655567406131134,0.14303552068512726,0.14303552068512726,0.61071987480438183,0.63419405320813771,0.63419405320813771,0.023474178403755874,0.023474178403755874,0.18491561939663981,0.00063158637315607891,-0.00031579318657803945
Ilex,120,3,3,2,1,0,0.82226724254786521,0.82226724254786521,0.61776063265742986,0.20450660989043534,0,0.52478991596638658,0.52478991596638658,0.5698879551820728,0.045098039215686225,0,0.083153235281571036,-0.012531819887258822,-0.0062659099436294108
Lonicera,81,4,2,2,2,2,1.0980560910559418,0.67590103057401141,0.67590103057401141,0.42215506048193041,0.42215506048193041,0.40555555555555556,0.51111111111111107,0.51111111111111107,0.10555555555555551,0.10555555555555551,0.0068339706724431792,0.019982107998884002,-0.0099910539994420011
Maytenus,31,3,3,2,1,0,1.0914145617941,1.0914145617941,0.62879939409378049,0.46261516770031952,0,0.31612903225806449,0.31612903225806449,0.54838709677419351,0.23225806451612901,0,0.087139786732303048,-0.10742757480350629,-0.053713787401753144
Ocotea,41,2,2,2,0,0,0.6928497090635346,0.6928497090635346,0.6928497090635346,0,0,0.48780487804878048,0.48780487804878048,0.48780487804878048,0,0,-0.010104166666666636,0,0
Passiflora,179,5,3,2,3,2,1.3441849545340989,1.0617856664160437,0.69050761127075555,0.65367734326334337,0.28239928811805526,0.30563053166781745,0.35547046638629087,0.49984307325340532,0.19421254158558787,0.049839934718473422,0.048143582639611604,0.049968713210146953,0.018951047217391714
Pouteria,90,3,3,2,1,0,1.0769062280044899,1.0769062280044899,0.59084224627558257,0.4860639817289073,0,0.34107365792759053,0.34107365792759053,0.59425717852684146,0.25318352059925092,0,-0.021966575877819972,0.01480598621559065,0.0074029931077952971
Protium,47,3,3,2,1,0,1.0289306832470473,1.0289306832470473,0.45622342016761397,0.57270726307943332,0,0.36170212765957449,0.36170212765957449,0.71137835337650324,0.34967622571692875,0,0.044729375714378516,-0.018053355654199965,-0.0090266778270999826
Prunus,93,2,2,2,0,0,0.47560636723156957,0.47560636723156957,0.47560636723156957,0,0,0.69798971482000938,0.69798971482000938,0.69798971482000938,0,0,-0.057081395324724893,0,0
Rhus,35,3,3,2,1,0,1.0528776127202617,1.0528776127202617,0.65971161517847299,0.39316599754178871,0,0.34285714285714286,0.34285714285714286,0.51932773109243702,0.17647058823529416,0,0.022089557398208171,0.056192588524496823,0.028096294262248467
Ribes,80,5,3,2,3,2,1.5774815969370732,0.88194978197423191,0.51725020202860372,1.0602313949084694,0.69553181496284133,0.20316455696202532,0.48006329113924051,0.66107594936708858,0.45791139240506329,0.27689873417721522,-0.035001279285901798,0.10650552929914919,-0.01091478147328484
Rosa,87,4,2,2,2,2,1.0492009915656784,0.68990679170136304,0.68990679170136304,0.35929419986431532,0.35929419986431532,0.39187383052659719,0.49746057203956162,0.49746057203956162,0.10558674151296443,0.10558674151296443,0.034092831161450121,0.044184726692303111,-0.022092363346151611
Rubus,85,2,2,2,0,0,0.53133886145612286,0.53133886145612286,0.53133886145612286,0,0,0.64873949579831935,0.64873949579831935,0.64873949579831935,0,0,0.011297698831786662,0,0
Scaevola,33,3,3,2,1,0,0.97568687386233621,0.97568687386233621,0.68162443362478364,0.29406244023755257,0,0.40340909090909088,0.40340909090909088,0.49621212121212122,0.092803030303030332,0,0.15891258098217542,0.078214190878646894,0.039107095439323447
Solanum,440,4,3,2,2,1,0.92190671931695023,0.8110682126278177,0.65289334231501417,0.26901337700193606,0.11083850668913253,0.45573617726237314,0.48692275833505899,0.53866224891281844,0.082926071650445299,0.031186581072685848,0.069977600652520233,0.06037855847674034,0.0047714403611811562
Symplocos,94,4,3,2,2,1,0.98401247659824165,0.84357435636370504,0.641317327350994,0.34269514924724764,0.14043812023453661,0.4754060855639442,0.49874170670327156,0.54609929078014185,0.070693205216197652,0.023335621139327356,0.032377070137771358,-0.033685266098182898,-0.0089588318762268138
Terminalia,40,3,3,2,1,0,1.0151956659536201,1.0151956659536201,0.69189665920507992,0.32329900674854017,0,0.37564102564102564,0.37564102564102564,0.48846153846153845,0.11282051282051281,0,0.067144300061013351,0.048158875051557803,0.024079437525778902
Vaccinium,85,4,3,2,2,1,1.24728344016679,0.95633500772557078,0.69141607761711832,0.55586736254967173,0.29094843244121926,0.31540616246498598,0.40504201680672269,0.49579831932773111,0.18039215686274512,0.089635854341736709,0.056367381803781647,0.039845537794515162,0.023847021393771817
