hypothesis_id,hypothesis,current_status,chun_result_basis,remaining_test,claim_boundary
H_ACC,"Pigment-network states are repeatedly reachable through regulatory/flux changes",supported_preliminary,"Dependence-aware mechanistic synthesis: regulatory/pathway-flux evidence 8/8 independence clusters; red-direction anthocyanin increase 6/6 informative clusters; no positive focal structural-loss requirement","common raw-RNAseq module effect-size meta-analysis; node-level micro-accessibility score","supports short-scale mechanistic accessibility only; does not estimate natural macro transition or origin frequency"
H_COLD_UNIVERSAL,"Anthocyanin-like red/pink floral state generally enables colder climatic niche expansion in Camellia",not_supported,"S3 provenance-aware 50-species A-W screen remains null: BIO6 median P=0.509; q05 P=0.553; q01 P=0.227; min P=0.308; fixed-n resampling crosses zero; section-relative displacement P=0.287/0.269","restrict to validated branch-specific conditional climate/light effects using latent pigment states","do not retain visible A/red as a genus-wide cold-enabler"
H_COLD_CONDITIONAL,"Anthocyanin deployment facilitates cold/UV adaptation in particular lineages or ecological contexts",open_conditional,"external comparative literature contains support/null/counterexamples; Camellia visible-hue thermal effects are null after provenance and estimator checks","primary nuclear branch-event tests with validated uncertain climate/light events and mechanistic pigment axes","plausible only conditionally; no branch-specific Camellia case is yet established"
H_Y_HISTORY,"Yellow state is unusually historically/geographically constrained",supported_preliminary_strengthened,"Fan Data S1: Y 22/22 confined to southern ancestral belt; full formal-section table Y=17 in 4/17 sections versus 8.045 expected, breadth P=0.00130 and entropy P<1e-5; 13/17 Y=76.5% in sect. Chrysantha versus 28.1% expected maximum share P<1e-5","nuclear ancestral-range/state reconstruction and reticulation-aware origin histories","supports strong historical/geographic concentration, not a yellow thermal optimum or independent-origin count"
H_AW_EXPANSION,"Red/pink state expands beyond southern ancestral belt more readily than white",not_supported,"Fan Data S1 A 21/28 south-only versus W 43/56; Fisher P=1.0; thermal/niche-displacement screens also fail to show general A expansion","nuclear historical range reconstruction only as sensitivity","do not use A as a general range-expansion state"
H_HISTORY_STRUCTURE,"Visible flower-colour states are strongly structured by lineage/history proxies",supported_preliminary_strengthened,"Full Fan formal-section table 98 species/17 sections shows strong section-colour structure; count-controlled A and Y concentration both significant; A 25 species in 4 sections versus 9.568 expected P=0.00002, Y 17 in 4 versus 8.045 expected P=0.00130","replace traditional-section proxy with admitted nuclear phylogenetic signal and transition histories","traditional sections are not assumed monophyletic and cannot supply gain/loss counts"
H_MACRO_COLOURED_STATE_CONCENTRATION,"A and Y are non-uniformly realized across historical backgrounds after controlling state sample size",supported_preliminary_proxy,"A breadth 4/17 versus expected 9.568 P=0.00002; Y breadth 4/17 versus expected 8.045 P=0.00130; W breadth 13/17 versus expected 13.480 P=0.496","primary nuclear stochastic histories with topology uncertainty","robust source-table concentration pattern; causal mechanism and true phylogenetic concentration remain unresolved"
H_STATE_DOMINANCE,"Extant A and Y distributions are dominated by one major historical section",supported_preliminary_proxy,"A 22/25=88% in sect. Camellia versus expected maximum share 26.14% P<1e-5; Y 13/17=76.5% in sect. Chrysantha versus expected 28.08% P<1e-5; W maximum share P=0.257","primary nuclear origin-count/retention/radiation and reticulation-aware reconstruction","does not distinguish one/few origins from repeated gain/loss, persistence filtering or introgression"
H_FILTER,"Molecular accessibility generates variants while ecology/history filters which states persist macroevolutionarily",best_current_synthesis_process_unresolved,"strong micro accessibility coexists with A/Y macro concentration and weak coarse hue-climate/hue-function mapping","separate gain/redeployment hazard from persistence/loss hazard on primary nuclear histories","do not assign the concentration specifically to adaptive persistence filtering until generation-limited and one/few-origin alternatives are rejected"
H_LINEAGE_PERMISSIVITY,"Macro realization of accessible pigment states depends on lineage background",supported_preliminary_nonuniform_realization_process_unresolved,"A concentration replicates from exact-50 subset to full Fan formal-section set and A is 88% dominated by sect. Camellia; Y shows analogous concentration/dominance","test generation hazard and persistence hazard separately as functions of lineage background on multiple nuclear trees","supports lineage-associated non-uniform realization at proxy level; does not identify whether background gates generation, persistence, radiation or reticulation"
H_GENERATION_PERSISTENCE_DECOMP,"Macro colour-state generation and post-transition persistence must be modelled as distinct processes",supported_as_required_inference_decomposition,"high micro accessibility plus strong A/Y macro concentration and one-section dominance make generation-limited, persistence-limited and one/few-origin histories observationally distinct alternatives","fit separate gain/redeployment and loss/persistence hazards after nuclear-tree admission","a required inference decomposition generated by current data, not yet a causal biological conclusion"
H_ORIGIN_RETENTION_RADIATION,"One or a few early coloured-state origins followed by retention/radiation can explain much of extant concentration",strong_competing_explanation,"A 88% sect. Camellia and Y 76.5% sect. Chrysantha strongly concentrate extant counts in single major sections","posterior origin counts/timing from multiple nuclear trees; compare against repeated gain/loss models","not yet established; section dominance makes it a mandatory competing model"
H_MICRO_MACRO_REUSE,"The same pigment-network nodes labile within development/cultivars are preferentially reused on macroevolutionary transition branches",open_primary,"micro recurrence is strong, but state-section dominance shows extant state counts cannot be used as evidence for many independent macro gains","primary nuclear transition mapping plus common-ortholog/node enrichment against matched pigment-network background","not demonstrated; micro recurrence must not be converted into macro origin frequency"
H_STATE_ALIASING,"Human-visible W/A/Y states merge distinct biochemical, sensory and ecological states",supported_preliminary_strengthened,"same-red C. japonica/C. rusticana have different pollination/sensory strategies; 7-taxon pollination diagnostic has functional heterogeneity in 2/3 multi-taxon visible states; yellow C. nitidissima combines flavonol and carotenoid deployment","expand species spectral/UV/pigment/reward matrix and compare latent-state versus hue models on the same nuclear branches","visible hue is demonstrably non-deterministic; no particular latent-state model is yet proven superior"
H_SELECTION_TARGET,"Selection acts more directly on latent biochemical/spectral/reward/phenology phenotype than on human-visible hue",open_primary_with_case_and_meta_diagnostic_support,"coarse hue predicts thermal divergence poorly; pollination diagnostic exact hue-function association unresolved P=0.486 while same-hue functional collisions are explicit","expand UV/reflectance/pigment chemistry/reward/phenology; compare predictive fit and branch-event alignment","strongly motivated but genus-wide superiority of latent predictors is not yet demonstrated"
H_REPRODUCTIVE_NICHE,"Flower-colour evolution may more often mark reproductive/sensory niche turnover than abiotic climatic niche innovation",open_primary_generated_by_chun,"within-section A/W climate-divergence screen is opposite the climatic-divergence prediction: different-colour mean distance 1.88475 versus same-colour 2.35668, one-sided P=0.92889; pollination function can differ within hue and vary with ecological context without hue change","standardized spectral/effective-pollination/phenology matrix plus nuclear branch-event comparison against climatic events","priority hypothesis, not yet evidence that reproductive-niche shifts are more frequent than climatic shifts"
H_VISIBLE_HUE_MACRO_NULL,"Coarse visible A/W hue contains little direct information about thermal niche divergence in current Camellia screens",supported_preliminary_thermal_only_strengthened,"raw/specimen/S3 thermal tests null; boundary uncertainty crosses zero; section-relative displacement P=0.287/0.269; within-section pair test has A-W pairs not farther apart than same-colour pairs, one-sided P=0.92889","repeat on primary nuclear trees and additional validated environmental/light axes; compare latent predictors","supports current thermal screens only; does not imply hue is ecologically irrelevant"
H_POLL_FILTER,"Pollinator sensory environment helps determine which accessible latent floral states persist",open_secondary_priority_increased,"7-taxon primary-evidence diagnostic: A spans bird/insect functions, Y spans bird/context-dependent mixed; exact hue-function association unresolved P=0.486; same-red spectral/pollinator collision directly documented","phylogenetic event analysis using spectra/UV, effective pollination, nectar/reward and phenology","do not infer pollinator filtering from human-visible hue or visitor lists alone"
H_CLIMATE_POLL_MED,"Climate/season can select floral re-deployment indirectly by altering pollinator reliability or seasonality",open_conditional_priority_increased,"current primary-evidence seed contains weather/season/disturbance-linked pollinator modulation without hue change in C. petelotii, C. perpetua, C. japonica and C. sinensis; direct A-W climate mapping is null","compare climate/season -> pollinator/sensory -> latent pigment event models against direct climate -> pigment and pollinator-first alternatives","literature-ascertained cases show mechanism plausibility, not macroevolutionary frequency or causation"
H_REACT_ORDER,"Adaptive pigment reactivation can be ecological enabler or follower and requires branch-level temporal ordering",open_primary,"strong molecular accessibility coexists with null present-day visible-hue climate mapping and non-deterministic pollination function","dated primary nuclear histories plus retained-pathway gate and validated climate/light/pollinator event reconstruction","no Camellia branch-specific true reactivation yet passes history + retention + ecological-alignment gates"
H_ECOLOGICAL_RECURRENCE,"Some pigment reactivations restore a previously useful signal when an ancestral-like ecological regime recurs",open_exploratory,"retained-pathway accessibility plus same-hue function variation motivate molecular-memory/ecological-return alternative; general pollinator-associated regain exists outside Camellia","reconstruct pre-loss, low-state and post-reactivation ecological/sensory regimes on dated trees","not demonstrated in Camellia"
H_WHITE_RESERVOIR,"White can retain pigment-network competence and may act as a reservoir/bridge",open_primary_molecular_support_only,"published visible root is white and extant white systems retain pathway activity; however count-controlled W breadth is not unusual in exact subset or full formal-section table","nuclear stochastic maps conditioned on root/state frequency/sampling plus pathway-retention evidence on W->coloured branches","do not call white a macro evolutionary hub from broad occupancy alone"
H_TAIL_PROVENANCE,"Occurrence provenance can dominate lower-tail climatic niche inference",supported_preliminary_dataset_scale,"generic/shared coordinates and hard range conflicts change deep-tail results; Tuberculatae q05 shifts >15 C after two records/taxon removed","extend provenance/range audit to all environmental axes and candidate branch events","ecological boundary events require an observation/provenance layer before evolutionary interpretation"
