source_id,system,citation,doi_or_accession,source_type,coverage,public_raw_data,public_accession,usable_for,not_usable_for,audit_status,notes
SRC_CIR_2026,Cirsium,"Chang et al. 2026. Phylotranscriptomics and genome-size evidence clarify the Taiwanese Cirsium japonicum complex and delimit C. brevicaule and allied East Asian thistles",10.1186/s12870-026-08097-6,phylotranscriptomics_and_morphology,"37 samples total; 33 Cirsium samples; Taiwan/Ryukyu/Japan focal sampling",yes,PRJNA1311153,"nuclear species-tree scaffold; lineage delimitation; leaf-transcriptome coding-integrity screen; verified visible corolla states","petal expression; pigment chemistry; causal pollinator inference",public_with_metadata_conflicts,"RNA was sampled from fresh leaves. Publication reports Illumina NovaSeq but current SRA RunInfo says Illumina MiniSeq for all 25 focal runs; preserve as unresolved provenance conflict. SRA ScientificName is also coarse/mismatched for 18/25 runs, so downstream taxon identity must use audited sample/voucher mapping."
SRC_CAM_2026_TE,Camellia,"Fan et al. 2026. Transposable Element-Mediated Structural Variation Drives Flower Colour Diversification in Camellia",10.1111/pbi.70442,population_genomics_and_functional_validation,"237 accessions; 11 de novo genomes; major Camellia flower-colour types",request_only,,"published nuclear phylogenetic framework; visible-colour ancestral reconstruction; TE/SV regulatory mechanism; MYB60 anthocyanin-suppression evidence","independent raw-data reanalysis; treating the published tree as a locally reproduced result",published_only_raw_unavailable,"The paper's Data Availability Statement says supporting data are available on request from the corresponding author and are not publicly available. Treat its white-MRCA reconstruction and 237-accession topology as published evidence, not a reproduced project result."
SRC_CAM_2026_YELLOW,Camellia,"Fan et al. 2026. A near telomere-to-telomere genome reveals yellow camellias evolution and flavonols biosynthesis",10.1016/j.indcrop.2026.123200,genome_population_genomics_functional,"79 accessions; 26 yellow Camellia from China; 18 from Vietnam; Camellia longruiensis gap-free phased genome",request_only,,"published yellow-lineage nuclear phylogeny; China-Vietnam comparison; C. cucphuongensis/C. flava distinct trajectory; WRKY23-to-FLS regulatory evidence","independent raw-data reanalysis; treating the 79-accession tree as a locally reproduced result",published_only_raw_unavailable,"The article's Data availability statement says data will be made available on request. Most yellow accessions form a major lineage while C. cucphuongensis and C. flava follow a distinct trajectory; these remain published results until sequence/tree inputs are obtained."
SRC_CAM_2013_FLS,Camellia,"Zhou et al. 2013. Functional analyses of a flavonol synthase-like gene from Camellia nitidissima reveal its roles in flavonoid metabolism during floral pigmentation",10.1007/s12038-013-9339-2,functional_gene_and_metabolite,Camellia_nitidissima,no,,"taxon-specific CnFLS1 function; flavonol accumulation; experimental flux competition with anthocyanin","genus-wide transition history",high_confidence_published,"CnFLS1 overexpression in tobacco increased flavonols, reduced anthocyanins, and shifted flowers toward white/light yellow."
SRC_CAM_2017_NITIDISSIMA,Camellia,"Zhou et al. 2017. De novo Assembly of the Camellia nitidissima Transcriptome Reveals Key Genes of Flower Pigment Biosynthesis",10.3389/fpls.2017.01545,petal_transcriptome_and_pigment_chemistry,"five flower developmental stages; 15 flower samples",yes,SRP112181,"public petal/flower RNA-seq; HPLC pigment evidence; carotenoid and flavonol pathway expression","genus-wide phylogenetic transition direction",high_confidence_public,"Golden-yellow petals contain both carotenoids and flavonol glycosides. Publication and SRA agree on HiSeq 2500 and total yield. BioSample dev_stage metadata resolves archive groups 10/6/7/8/9 to biological stages S1/S2/S3/S4/S5, with three biological replicates each; the frozen mapping is in data/camellia_srp112181_admitted_manifest_v0_1.csv."
SRC_CAM_2024_MULTI,Camellia,"Feng et al. 2024. Multi-omics analysis revealed the mechanism underlying flavonol biosynthesis during petal color formation in Camellia nitidissima",10.1186/s12870-024-05332-w,petal_multiomics_and_functional,"five petal developmental stages; transcriptome/proteome/metabolome",not_yet_recovered,,"CnFLS2 petal expression; flavonol/anthocyanin developmental contrast; transient overexpression; JA-CnFLS2 regulation","genus-wide transition history; public reanalysis until raw accession is verified",high_confidence_published,"Flavonols rise during golden-petal formation while several anthocyanin/proanthocyanidin signals decline; CnFLS2 overexpression increases flavonol content."
SRC_CAM_2025_NITIDISSIMA_T2T,Camellia,"Wang et al. 2025. A telomere-to-telomere genome assembly of Camellia nitidissima",10.1038/s41597-025-05157-8,T2T_genome_and_annotation,Camellia_nitidissima,yes,"PRJCA034778; CRA023969; GWHFILD00000000.1; GCA_049201075.1","public chromosome-scale yellow-Camellia reference; anthocyanin/flavonol/carotenoid pathway coding inventory; regulatory-neighbourhood inspection","population transition history by itself",high_confidence_public,"2.72-Gb, 15-pseudochromosome T2T reference with 35,701 protein-coding genes; raw genomic and RNA data are deposited in NGDC and assembly is also available through NCBI/NGDC."
SRC_CAM_2025_PITARDII_T2T,Camellia,"Lv et al. 2025. Near telomere-to-telomere genome assembly of Camellia pitardii",10.1038/s41597-025-05764-5,near_T2T_genome_and_annotation,Camellia_pitardii,yes,"PRJCA039342; CRA025251; CRA025199; CRA025200; CRA025201; GWHGDHR00000000.1; JBPSJW000000000","public non-yellow comparative Camellia genome; coding-pathway comparison; regulatory-neighbourhood comparison","direct inference of the 237-accession colour-history",high_confidence_public,"Public near-T2T genome with eight gap-free chromosomes; useful as an independent white-to-rose-pink comparative genome rather than as a substitute for the inaccessible 2026 population datasets."
SRC_CAM_2025_GOLDEN20,Camellia,"Xie et al. 2025. Phylotranscriptomics resolved phylogenetic relationships and divergence time between 20 golden camellia species",10.1038/s41598-024-83004-3,leaf_phylotranscriptomics,"20 named golden Camellia accessions/species; original habitats mainly Guangxi with one Northeast Vietnam accession",yes,"SRR27212615-SRR27212634 (non-numeric table order; exact mapping frozen separately)","public yellow-lineage nuclear transcriptomic backbone; coding-pathway comparison; public C. longruiensis RNA-seq; China-Vietnam yellow comparison","petal expression; assuming each published species name is an independent lineage; reliable divergence-time inference",public_taxonomy_gate_required,"All 20 leaf transcriptomes are public as individual SRR accessions. The paper itself says exact golden-Camellia species number is uncertain and calls its divergence-time conclusions tentative because the molecular-clock assumption failed. Taxonomic independence must be re-audited before counting colour origins."
SRC_CAM_2025_GOLDEN_TAXONOMY,Camellia,"Liu et al. 2025. Species concept of golden flower camellias in China",10.1186/s12870-025-07067-8,ITS_cpGenome_taxonomic_revision,"95 newly sampled ITS; 65 newly determined plastomes; combined ITS 931 sequences/160 Camellia taxa and plastid 322 genomes/140 taxa",yes,"CNCB GB0004521 (ITS); GB0004520 (chloroplast genomes)","taxonomic-independence audit; hybridization/chloroplast-capture flags; Chinese golden-Camellia species circumscription","single nuclear species tree; direct pigment mechanism; treating chloroplast topology as species history",high_confidence_public,"Recognizes about 23 golden-flower Camellia species in China and documents extensive hybridization/chloroplast capture. Critically, C. longgangensis and C. longruiensis are treated as synonyms of C. flavida; C. longzhouensis is not a clean independent species and may involve C. chrysanthoides-related variation/hybrid origin. Use this source as a gate before treating the 20 transcriptome names as independent evolutionary units."
