hypothesis,system,scope,evidence_class,evidence_role,evidence_summary,source_reference,independence_note
H1_BASELINE_DEPENDENT_TRANSITION_ARCHITECTURE,LINOIDEAE,V0_5_REGISTRY,COMPATIBLE_ONLY,MACRO_ARCHITECTURE,"deep yellow-white baseline followed by dated diversification to purple then blue/red/pink",10.3390/plants11121579,"does not directly estimate a cross-baseline rate effect"
H1_BASELINE_DEPENDENT_TRANSITION_ARCHITECTURE,HYDRANGEA_CORNIDIA,V0_5_REGISTRY,COUNTEREXAMPLE_TO_STRONGER_FORM,DIRECTION_FALSIFICATION,"white ancestral state but published transition map is dominated by returns to white rather than one-way colour gain",10.3389/fpls.2021.661522,"rejects one-way white-to-colour formulation; does not by itself prove baseline-dependent rates"
H1_BASELINE_DEPENDENT_TRANSITION_ARCHITECTURE,ANGRAECINAE,V0_5_REGISTRY,COMPATIBLE_ONLY,LOW_COMPLEXITY_MACRO_CONTROL,"white flowers symplesiomorphic with repeated green origins",10.1371/journal.pone.0163194,"compatible with baseline-conditioned routes but no matched alternative-baseline test"
H1_BASELINE_DEPENDENT_TRANSITION_ARCHITECTURE,ANTIRRHINEAE,V0_5_REGISTRY,COMPATIBLE_ONLY,MULTISTATE_TRANSITION_CONTROL,"369-species survey shows repeated gains and white as an important intermediate with extant polymorphism",10.1093/aob/mcw043,"transition architecture informative; baseline effect not isolated"
H1_BASELINE_DEPENDENT_TRANSITION_ARCHITECTURE,SILENE_PHYSOLYCHNIS,V0_5_REGISTRY,COMPATIBLE_ONLY,GAIN_CONTROL,"multiple independent red gains including some inferred from white",10.3389/fpls.2022.945806,"compatible with route dependence but not a baseline-rate comparison"
H1_BASELINE_DEPENDENT_TRANSITION_ARCHITECTURE,LINANTHUS,V0_5_REGISTRY,COUNTEREXAMPLE_TO_STRONGER_FORM,ANCESTRAL_POLYMORPHISM_CONTROL,"recent phylogeny indicates colour polymorphism itself is likely ancestral and labile, superseding a simple white-ancestor story",10.1002/ajb2.70005,"rejects a universal fixed white-root framing"
H2_RETAINED_CAPACITY_REGULATORY_REDEPLOYMENT,PETUNIA_LONG_TUBE_CLADE,V0_5_REGISTRY,DIRECT_SUPPORT,REGAIN_FUNCTIONAL_GENETICS,"two independent regains from a colourless ancestor restore or recruit R2R3-MYB function through different solutions",10.1093/plcell/koab114,"robust within long-tube clade; direct regain evidence"
H2_RETAINED_CAPACITY_REGULATORY_REDEPLOYMENT,ACER,V0_5_REGISTRY,PRIOR_ART_SUPPORT,GENETIC_CONTEXT_CONTROL,"flower colour transition probabilities depend on vegetative anthocyanin genetic context",10.1046/j.1420-9101.2002.00399.x,"prior-art control; not a new atlas discovery"
H2_RETAINED_CAPACITY_REGULATORY_REDEPLOYMENT,DALECHAMPIA,V0_5_REGISTRY,PRIOR_ART_SUPPORT,PLEIOTROPIC_CONTEXT_CONTROL,"floral pigmentation evolution is linked to vegetative pigment context and pleiotropy",10.1046/j.1420-9101.2002.00399.x,"prior-art control; not a new atlas discovery"
H2_RETAINED_CAPACITY_REGULATORY_REDEPLOYMENT,EPIMEDIUM_DIPHYLLON,V0_5_REGISTRY,COMPATIBLE_ONLY,ENDPOINT_NETWORK_RETENTION,"A-minus endpoints retain recurrent core pathway structure while lower-level implementation varies",10.3389/fpls.2023.1133616,"no historical regain event is identified"
H3_HIERARCHICAL_REPEATABILITY,CAMELLIA,V0_5_REGISTRY,DIRECT_SUPPORT,MATCHED_OBSERVATION_INTERVENTION,"anthocyanin gain and yellow development show transition-class-dependent modular recurrence without invariant whole A/F/C/P replay",internal_science_v0.2.2,"dependence clusters/developmental systems are not direct macro events"
H3_HIERARCHICAL_REPEATABILITY,EPIMEDIUM_DIPHYLLON,V0_5_REGISTRY,DIRECT_SUPPORT,COMMON_PANEL_ENDPOINT,"ANS low recurs in 4/4 A-minus endpoints while DFR/CHS/FLS and copy-aware implementation are more heterogeneous",10.3389/fpls.2023.1133616,"endpoint species; event identity unresolved"
H3_HIERARCHICAL_REPEATABILITY,PETUNIA_LONG_TUBE_CLADE,V0_5_REGISTRY,DIRECT_SUPPORT,REGULATOR_CLASS_VS_IMPLEMENTATION,"R2R3-MYB regulator-class reuse is 2/2 while complete implementation recurrence is 0/2",10.1093/plcell/koab114,"two robust regain events"
H3_HIERARCHICAL_REPEATABILITY,ERICA_CAPE,V0_5_REGISTRY,DIRECT_SUPPORT,CAUSAL_NODE_DIVERSITY,"white/yellow endpoints span five focal node classes; no exact focal node exceeds 2/8 despite pathway-level commonality",10.3389/fpls.2019.01565,"putative comparison sets not pooled as event rate"
