clade,tree_member,source_species,tree_tips,exact_matches,data_only,tree_only,branch_lengths_complete
Annona,trees/annona.tre,37,37,37,0,0,1
Asparagus,trees/asparagus.tre,33,33,33,0,0,1
Bactris,trees/bactris.tre,28,28,28,0,0,1
Calophyllum,trees/calophyllum.tre,12,12,12,0,0,1
Canthium,trees/canthium.tre,14,14,14,0,0,1
Capparis,trees/capparis.tre,30,30,30,0,0,1
Casearia,trees/casearia.tre,9,9,9,0,0,1
Celtis,trees/celtis.tre,12,12,12,0,0,1
Chrysophyllum,trees/chrysophyllum.tre,22,22,22,0,0,1
Cissus,trees/cissus.tre,73,73,73,0,0,1
Clidemia,trees/clidemia.tre,83,83,83,0,0,1
Cordia,trees/cordia.tre,76,76,76,0,0,1
Cornus,trees/cornus.tre,37,37,37,0,0,1
Crataegus,trees/crataegus.tre,39,39,39,0,0,1
Cryptocarya,trees/cryptocarya.tre,27,27,27,0,0,1
Cyphostemma,trees/cyphostemma.tre,31,31,31,0,0,1
Diospyros,trees/diospyros.tre,119,119,119,0,0,1
Elaeocarpus,trees/elaeocarpus.tre,66,66,66,0,0,1
Endiandra,trees/endiandra.tre,10,10,10,0,0,1
Erythroxylum,trees/erythroxylum.tre,6,6,6,0,0,1
Garcinia,trees/garcinia.tre,60,60,60,0,0,1
Gaultheria,trees/gaultheria.tre,77,77,77,0,0,1
Grewia,trees/grewia.tre,3,3,3,0,0,1
Ilex,trees/ilex.tre,129,129,129,0,0,1
Iochroma,trees/iochroma.tre,19,19,19,0,0,1
Lonicera,trees/lonicera.tre,83,83,83,0,0,1
Maytenus,trees/maytenus.tre,35,35,35,0,0,1
Nectandra,trees/nectandra.tre,26,26,26,0,0,1
Ochna,trees/ochna.tre,9,9,9,0,0,1
Ocotea,trees/ocotea.tre,45,45,45,0,0,1
Passiflora,trees/passiflora.tre,185,185,185,0,0,1
Pavetta,trees/pavetta.tre,13,13,13,0,0,1
Pouteria,trees/pouteria.tre,101,101,101,0,0,1
Protium,trees/protium.tre,47,47,47,0,0,1
Prunus,trees/prunus.tre,93,93,93,0,0,1
Rhamnus,trees/rhamnus.tre,23,23,23,0,0,1
Rhus,trees/rhus.tre,37,37,37,0,0,1
Ribes,trees/ribes.tre,83,83,83,0,0,1
Rosa,trees/rosa.tre,87,87,87,0,0,1
Rubus,trees/rubus.tre,90,90,90,0,0,1
Scaevola,trees/scaevola.tre,34,34,34,0,0,1
Smilax,trees/smilax.tre,92,92,92,0,0,1
Solanum,trees/solanum.tre,442,442,442,0,0,1
Sorbus,trees/sorbus.tre,14,14,14,0,0,1
Strychnos,trees/strychnos.tre,7,7,7,0,0,1
Symplocos,trees/symplocos.tre,96,96,96,0,0,1
Terminalia,trees/terminalia.tre,41,41,41,0,0,1
Tricalysia,trees/tricalysia.tre,10,10,10,0,0,1
Vaccinium,trees/vaccinium.tre,88,88,88,0,0,1
Viburnum,trees/viburnum.tre,123,123,123,0,0,1
Vitex,trees/vitex.tre,4,4,4,0,0,1
