stage,gene_id,reported_gene_name,module_assignment,reported_log2FC,reported_direction,orientation_basis,module_status,interpretation
2,CSA003949,DFR,DFR,1.87236935205627,up,"S8 BTP values > ZJW values; S9 orientation agrees",admitted,"pink BTP has higher DFR expression at stage 2"
2,CSA008358,FLS,FLS,1.35236469824935,up,"S8 BTP values > ZJW values",admitted,"one FLS paralog is also higher in pink BTP at stage 2; simple FLS=white rule is not stage-universal"
2,CSA019984,LAR,LAR,2.59514479848358,up,"S8 and S9 numeric values agree",admitted,"PA-branch LAR is higher in pink BTP at stage 2"
2,CSA018523,LAR,LAR,1.77754089854397,up,"S8 BTP values > ZJW values",admitted,"PA-branch LAR is higher in pink BTP at stage 2"
2,CSA011986,ANR,ANR,2.18337810790214,up,"S8 BTP values > ZJW values",admitted,"PA-branch ANR is higher in pink BTP at stage 2"
2,CSNG5035,LAR,LAR,2.36234175172903,up,"S8 BTP values > ZJW values",admitted,"PA-branch LAR is higher in pink BTP at stage 2"
2,CSA011508,LAR,AMBIGUOUS_ANS_LAR,3.30676093002794,up,"S8 BTP values > ZJW values",quarantine,"gene_name says LAR but KEGG/Swiss-Prot indicate leucoanthocyanidin dioxygenase/ANS-like"
3,CSNG45659,DFR,DFR,2.08114585969163,up,"S8 BTP values > ZJW values",admitted,"pink BTP has higher DFR expression at stage 3"
3,CSNG38209,DFR,DFR,1.85324375763408,up,"S8 BTP values > ZJW values",admitted,"pink BTP has higher DFR expression at stage 3"
3,CSA006950,FLS,FLS,-1.39431007742756,down,"negative S8 log2FC and ZJW values > BTP values",admitted,"a different FLS paralog is higher in white ZJW at stage 3"
3,CSA019984,LAR,LAR,1.53678083696159,up,"S8 BTP values > ZJW values",admitted,"LAR remains higher in pink BTP at stage 3"
3,CSNG5035,LAR,LAR,1.60822186692319,up,"S8 BTP values > ZJW values",admitted,"LAR remains higher in pink BTP at stage 3"
4,CSNG38209,DFR,DFR,2.32274748431677,up,"S8 BTP values > ZJW values",admitted,"pink BTP has higher DFR expression at stage 4"
4,CSNG45659,DFR,DFR,2.37017507051842,up,"S8 BTP values > ZJW values",admitted,"pink BTP has higher DFR expression at stage 4"
4,CSA006950,FLS1,FLS,-1.55805697057375,down,"negative S8 log2FC and ZJW values > BTP values",admitted,"white ZJW has higher FLS expression at stage 4"
4,CSNG5035,LAR,LAR,1.68489586594088,up,"S8 BTP values > ZJW values",admitted,"LAR higher in pink BTP at stage 4"
4,CSA019984,LAR,LAR,1.62610514265491,up,"S8 BTP values > ZJW values",admitted,"LAR higher in pink BTP at stage 4"
4,CSA011508,FLAR,AMBIGUOUS_ANS_LAR,2.75412667877523,up,"S8 BTP values > ZJW values",quarantine,"same ambiguous gene ID; do not use in module effect before ortholog validation"
5,CSNG38209,DFR,DFR,2.5195950432523,up,"S8 BTP values > ZJW values; S6 contains same values under opposite headers",admitted,"pink BTP has higher DFR expression at stage 5"
5,CSNG45659,DFR,DFR,2.64719435582037,up,"S8 BTP values > ZJW values",admitted,"pink BTP has higher DFR expression at stage 5"
5,CSA006950,FLS,FLS,-1.37515181454908,down,"negative S8 log2FC and ZJW values > BTP values",admitted,"white ZJW has higher FLS expression at stage 5"
5,CSNG5035,LAR,LAR,1.18874157777985,up,"S8 BTP values > ZJW values",admitted,"LAR higher in pink BTP at stage 5"
5,CSA019984,LAR,LAR,1.31832814743857,up,"S8 BTP values > ZJW values",admitted,"LAR higher in pink BTP at stage 5"
5,CSA011508,LAR,AMBIGUOUS_ANS_LAR,3.74728298337599,up,"S8 BTP values > ZJW values",quarantine,"same ambiguous gene ID; do not use in module effect before ortholog validation"
