dataset_id,system,taxa_or_scope,tissue,data_type,public_accession,n_samples_or_experiments,primary_use,critical_limit,source_doi,public_status
SRP112181,Camellia nitidissima,Camellia nitidissima,flower developmental stages,RNA-seq,SRP112181,"15 libraries; 5 stages x 3 biological replicates","developmental pathway scores for flavonol/carotenoid/anthocyanin; ortholog anchors","single species; developmental rather than colour-state contrast",10.3389/fpls.2017.01545,public
Zhou2020_white_pink,"white-pink tea flower comparison",Camellia sinensis,petal developmental stages,RNA-seq,"PRJNA597123; PRJNA597289","run-level manifest to resolve before admission","within-study standardized white-vs-pink pathway contrasts; test DFR/ANS versus FLS allocation","different genotypes and developmental stages; must model study design explicitly",10.3390/molecules25010190,public
Wang2021_japonica_gradient,"white-to-crimson C. japonica series",Camellia japonica,petal,"RNA-seq + metabolomics",CRA003840,"run-level manifest to resolve before admission","continuous anthocyanin module response across white/pink/deep-pink/red/crimson cultivars","cultivars are not phylogenetic transition replicates",10.3389/fpls.2021.685136,public
Geng2022_reticulata_gradient,"red-pink-white C. reticulata series",Camellia reticulata,petal,"RNA-seq + metabolomics",PRJCA012977,"run-level manifest to resolve before admission","within-species pathway-gradient contrast; anthocyanin module versus visible intensity","cultivar contrast; reference/mapping pipeline must be harmonized",10.3389/fgene.2022.1059717,public
Xu2023_reticulata_sector,"red-white sector and cultivar contrasts",Camellia reticulata,petal regions,"RNA-seq + metabolomics",GSE236364,"run-level manifest to resolve before admission","within-genotype spatial colour switch; CHS/ANR/MYB module test","sector identity and replicate structure must be recovered from GEO metadata",10.1186/s12870-023-04655-4,public
JoyKendrick2023_sector,"red-pink sector contrast",Camellia japonica Joy Kendrick,petal regions,RNA-seq,PRJNA913600,"run-level manifest to resolve before admission","within-genotype red-versus-pink regulatory contrast","no metabolomics in the core RNA-seq design; hormone and colour-region effects can be confounded",10.3390/f14010069,public
PRJNA1136134,"red-yellow-white Camellia comparison","C. amplexicaulis; C. petelotii; C. oleifera",petal,RNA-seq,PRJNA1136134,"9 experiments; 3 biological replicates per species","within-study red/yellow/white pathway contrasts; test whether white retains flavonoid machinery","three species are not ancestor-descendant; species effects confounded with colour",10.1007/s10725-025-01335-1,public
Xie2025_20golden,"20 golden Camellia species","20 Sect. Chrysantha/golden taxa from Guangxi/Vietnam material",leaf,RNA-seq,"individual SRA accessions in Table 1",20,"nuclear phylogeny; coding-integrity and gene-tree screen across yellow taxa","leaf non-detection is not gene absence; molecular dating in paper is method-sensitive",10.1038/s41598-024-83004-3,public
Liu2025_ITS_cpG,"golden Camellia species concept","160 Camellia taxa ITS; 140 taxa cp genomes","DNA/archived sequence",ITS + complete plastome,"CNGB GB0004521 ITS; GB0004520 cp genomes; GenBank integrations","931 ITS sequences; 322 cp genomes in cleaned analyses","taxonomic audit; hybridization/chloroplast capture diagnostics; geographical provenance","ITS/plastid are not adequate alone for colour-origin counts",10.1186/s12870-025-07067-8,public
Fan2026_237,Camellia genus,237 accessions / 129 species,leaf DNA + petal transcriptomic subset,"whole-genome resequencing; genomes; petal transcriptomics",,"237 genomic accessions; petal transcriptomics 10 white + 5 yellow + 8 red","published nuclear backbone; root-colour reference; TE/SV regulatory candidates","data availability states on request; do not treat as locally reproduced raw-data result",10.1111/pbi.70442,published_on_request
Fan2026_79yellow,"yellow Camellia China-Vietnam",79 accessions including 26 yellow China + 18 Vietnam,leaf DNA + multi-tissue functional work,"whole-genome resequencing; C. longruiensis genome",,79,"published yellow-lineage topology; demographic split; WRKY23-FLS mechanism","~10 ka is China-Vietnam population divergence not yellow origin; raw package not yet admitted locally",10.1016/j.indcrop.2026.123200,published_on_request
Chrysantha2024_three,"yellow-tone Sect. Chrysantha comparison","C. chuongtsoensis; C. achrysantha; C. parvipetala",petal,"RNA-seq + metabolomics",,"9 biological sample units if 3 species x 3 replicates","golden-yellow/light-yellow/milk-white flavonoid contrast; candidate CHI/FLS/DFR/CYP75B1 regulation","sequence accession provenance still to be frozen in repository",10.7717/peerj.17275,source_accession_to_verify
Zhou2026_Tongzimian_fading,"pink-to-white developmental fading",Camellia reticulata Tongzimian,petal developmental stages,"transcriptome + metabolomics + functional assay",,"two focal developmental stages in article; raw accession not public in data statement","mechanistic reference for reversible anthocyanin suppression and procyanidin diversion","original contributions are article/supplement only; not currently a raw-read meta-analysis anchor",10.3389/fpls.2026.1831409,article_supplement_only
