clade,eligible_tips,eligible_stress_colors,white_area,stress_mean_area,stress_minus_white
Asparagus,29,yellow,0.2919594099146073,0.14688201909231235,-0.14507739082229493
Chrysophyllum,22,yellow,0.03901891864169873,0.03363777843751333,-0.005381140204185397
Cissus,69,red;yellow,-0.0236474016598112,-0.026773632973553986,-0.0031262313137427854
Clidemia,78,pink,0.032549062194547715,0.0029673352530265136,-0.0295817269415212
Cordia,74,yellow,-0.32608242968132173,0.1260639272039485,0.4521463568852702
Cornus,37,yellow,0.34825527224997577,0.22357059746224353,-0.12468467478773224
Diospyros,115,pink;yellow,0.02504740557656217,-0.03920535997049489,-0.06425276554705706
Elaeocarpus,63,yellow,-0.0003928425183623413,0.024391354455456184,0.024784196973818524
Garcinia,54,red;yellow,0.010670746514372505,0.02731321819643754,0.016642471682065035
Gaultheria,72,pink;red,0.1524595900100828,0.018312291490913728,-0.13414729851916907
Ilex,120,yellow,0.053601150462824335,0.053054366953746775,-0.00054678350907756
Lonicera,81,pink;red;yellow,0.01091805171285538,0.009159001299715001,-0.0017590504131403794
Maytenus,31,yellow,0.009913477433865212,0.014486842602410892,0.00457336516854568
Ocotea,41,yellow,-0.04797888339525565,0.01727599182293999,0.06525487521819565
Passiflora,179,pink;red;purple,0.03975704192521227,0.03090375821295448,-0.008853283712257787
Pouteria,90,yellow,-0.0016126395008472403,0.01068972001307944,0.012302359513926681
Protium,47,yellow,0.006108916386823761,-0.06089767479710405,-0.06700659118392781
Prunus,93,pink,0.03105071033173123,-0.006810242270833744,-0.03786095260256497
Rhus,35,yellow,-0.06382749524525827,-0.03830408538111451,0.02552340986414376
Ribes,80,pink;red;yellow,-0.008623542334968738,0.00675394297738074,0.01537748531234948
Rosa,87,pink;red;yellow,0.021664321154344954,0.02238854630272125,0.0007242251483762958
Rubus,85,pink,0.009137003403047381,0.0037467751407393424,-0.0053902282623080385
Scaevola,33,purple;yellow,0.04170562296887216,-0.010407875198411895,-0.052113498167284056
Solanum,440,purple;yellow,-0.0010573844761243999,-0.038426811593815134,-0.037369427117690736
Symplocos,94,pink;yellow,0.05312000649152044,-0.0027740239503030112,-0.05589403044182345
Terminalia,40,yellow,-0.1135131212372547,0.01102813728628837,0.12454125852354307
Vaccinium,85,pink;red,0.09505807473091815,0.00072222148282296,-0.0943358532480952
