morphology_row,source_taxon,source_group,sepal_code,sepal_binary,petal_code,petal_binary,labellum_code,labellum_binary,spur_code,spur_binary,display_perianth_concordant,all4_concordant
1,Acampe ochracea,OUTGROUP,4,OUTSIDE_BINARY,4,OUTSIDE_BINARY,3,OUTSIDE_BINARY,3,OUTSIDE_BINARY,OUTSIDE_BINARY,OUTSIDE_BINARY
2,Aerangis ellisii,ANGRAECINAE,2,WHITE,2,WHITE,2,WHITE,2,WHITE,WHITE,WHITE
3,Aerangis hariotiana,ANGRAECINAE,3,OUTSIDE_BINARY,2,WHITE,3,OUTSIDE_BINARY,2,WHITE,OUTSIDE_BINARY,OUTSIDE_BINARY
4,Aerangis hildebrandtii,ANGRAECINAE,3,OUTSIDE_BINARY,2,WHITE,3,OUTSIDE_BINARY,2,WHITE,OUTSIDE_BINARY,OUTSIDE_BINARY
5,Aerangis macrocentra,ANGRAECINAE,2,WHITE,2,WHITE,2,WHITE,2,WHITE,WHITE,WHITE
6,Aerangis punctata,ANGRAECINAE,2,WHITE,2,WHITE,2,WHITE,2,WHITE,WHITE,WHITE
7,Aeranthes aemula,ANGRAECINAE,1,GREEN,1,GREEN,1,GREEN,1,GREEN,GREEN,GREEN
8,Aeranthes arachnites,ANGRAECINAE,1,GREEN,1,GREEN,1,GREEN,1,GREEN,GREEN,GREEN
9,Aeranthes caudata,ANGRAECINAE,1,GREEN,1,GREEN,1,GREEN,1,GREEN,GREEN,GREEN
10,Aeranthes grandiflora,ANGRAECINAE,1,GREEN,1,GREEN,1,GREEN,1,GREEN,GREEN,GREEN
11,Aeranthes longipes,ANGRAECINAE,1,GREEN,1,GREEN,1,GREEN,1,GREEN,GREEN,GREEN
12,Aeranthes moratii,ANGRAECINAE,1,GREEN,1,GREEN,1,GREEN,1,GREEN,GREEN,GREEN
13,Aeranthes neoperrieri,ANGRAECINAE,1,GREEN,1,GREEN,1,GREEN,1,GREEN,GREEN,GREEN
14,Aeranthes strangulata,ANGRAECINAE,1,GREEN,1,GREEN,1,GREEN,1,GREEN,GREEN,GREEN
15,Aeranthes tenella,ANGRAECINAE,1,GREEN,1,GREEN,1,GREEN,1,GREEN,GREEN,GREEN
16,Aeranthes virginalis,ANGRAECINAE,1,GREEN,1,GREEN,1,GREEN,1,GREEN,GREEN,GREEN
17,Aerides odorata,OUTGROUP,4,OUTSIDE_BINARY,4,OUTSIDE_BINARY,3,OUTSIDE_BINARY,3,OUTSIDE_BINARY,OUTSIDE_BINARY,OUTSIDE_BINARY
18,Ancistrorhynchus capitatus,ANGRAECINAE,2,WHITE,2,WHITE,2,WHITE,2,WHITE,WHITE,WHITE
19,Ancistrorhynchus recurvus,ANGRAECINAE,2,WHITE,2,WHITE,2,WHITE,1,GREEN,WHITE,OUTSIDE_BINARY
20,Angraecoides cf. moandense,ANGRAECINAE,1,GREEN,1,GREEN,1,GREEN,1,GREEN,GREEN,GREEN
