tip_id,source_row,source_taxon,source_group,trait_join_status,matK_accession,rps16_accession,trnL_accession,ITS_accession
ANG001,1,Angraecum amplexicaule,ANGRAECINAE,EXACT_UNIQUE,KT826791,KT826861,KT826929,
ANG002,2,Angraecum ankeranense,ANGRAECINAE,EXACT_UNIQUE,KT826802,KT826872,KT826940,
ANG003,3,Angraecum appendiculatum,ANGRAECINAE,EXACT_UNIQUE,KF557933,KF558130,KF558173,DQ091752
ANG004,4,Angraecum arachnites,ANGRAECINAE,EXACT_UNIQUE,KF557990,KF558064,KF558250,
ANG005,5,Angraecum baronii,ANGRAECINAE,EXACT_UNIQUE,KT826787,KT826857,KT826925,
ANG006,6,Angraecum cf. germinyanum,ANGRAECINAE,DUPLICATE_SOURCE_NAME_HELD,KT826765,KT826835,KT826904,
ANG007,7,Angraecum borbonicum,ANGRAECINAE,EXACT_UNIQUE,KT826808,KT826878,KT826946,
ANG008,8,Angraecum bracteosum,ANGRAECINAE,EXACT_UNIQUE,KF557998,KF558045,KF558266,
ANG009,9,Angraecum cadetii,ANGRAECINAE,EXACT_UNIQUE,KF557986,KF558122,KF558222,
ANG010,10,Angraecum calceolus,ANGRAECINAE,EXACT_UNIQUE,KT826789,KT826859,KT826927,
ANG011,11,Angraecum caricifolium,ANGRAECINAE,EXACT_UNIQUE,KT826776,KT826846,KT826914,
ANG012,12,Angraecum caulescens,ANGRAECINAE,EXACT_UNIQUE,KF557988,,KF558172,
ANG013,13,Angraecum cf. breve,ANGRAECINAE,EXACT_UNIQUE,KT826803,KT826873,KT826941,
ANG014,14,Angraecum cf. peyrotii,ANGRAECINAE,EXACT_UNIQUE,KT826806,KT826876,KT826944,
ANG015,15,Angraecum cf. elephantinum,ANGRAECINAE,EXACT_UNIQUE,KT826811,KT826881,KT826949,
ANG016,16,Angraecum cf. germinyanum,ANGRAECINAE,DUPLICATE_SOURCE_NAME_HELD,KF557973,KF558093,KF558203,
ANG017,17,Angraecum cf. pauciramosum,ANGRAECINAE,EXACT_UNIQUE,KT826777,KT826847,KT826915,
ANG018,18,Angraecum cf. humblotianum,ANGRAECINAE,EXACT_UNIQUE,KF672272,KF672255,,
ANG019,19,Angraecum cf. liliodorum,ANGRAECINAE,EXACT_UNIQUE,KT826801,KT826871,KT826939,
ANG020,20,Angraecum cf. panicifolium,ANGRAECINAE,EXACT_UNIQUE,KT826816,KT826885,KT826954,
ANG021,21,Angraecum cf. pinifolium,ANGRAECINAE,EXACT_UNIQUE,KT826784,KT826854,KT826922,
ANG022,22,Angraecum cf. rutenbergianum,ANGRAECINAE,EXACT_UNIQUE,KF557938,KF558076,KF558218,DQ091743
ANG023,23,Angraecum cf. sacculatum,ANGRAECINAE,EXACT_UNIQUE,KT826790,KT826860,KT826928,
ANG024,24,Angraecum cf. zeylanicum,ANGRAECINAE,EXACT_UNIQUE,KF557956,KF558137,KF558230,
ANG025,25,Angraecum chaetopodium,ANGRAECINAE,EXACT_UNIQUE,KT826786,KT826856,KT826924,
ANG026,26,Angraecum ochraceum,ANGRAECINAE,EXACT_UNIQUE,KT826785,KT826855,KT826923,
ANG027,27,Angraecum clareae,ANGRAECINAE,EXACT_UNIQUE,KF557917,KF558049,KF558256,
ANG028,28,Angraecum compactum,ANGRAECINAE,EXACT_UNIQUE,KT826796,KT826866,KT826934,
ANG029,29,Angraecum conchiferum,ANGRAECINAE,EXACT_UNIQUE,DQ091414,,DQ091539,DQ091748
ANG030,30,Angraecum conchoglossum,ANGRAECINAE,EXACT_UNIQUE,KF558027,,KF558242,
ANG031,31,Angraecum cordemoyi,ANGRAECINAE,EXACT_UNIQUE,KT826782,KT826852,KT826920,
ANG032,32,Angraecum cornigerum,ANGRAECINAE,EXACT_UNIQUE,KT826809,KT826879,KT826947,
ANG033,33,Angraecum corrugatum,ANGRAECINAE,EXACT_UNIQUE,KF558003,KF558106,KF558194,DQ091745
ANG034,34,Angraecum costatum,ANGRAECINAE,EXACT_UNIQUE,KF557942,KF558111,KF558180,
ANG035,35,Angraecum cucullatum,ANGRAECINAE,EXACT_UNIQUE,KF557927,KF558051,KF558245,
ANG036,36,Angraecum danguyanum,ANGRAECINAE,EXACT_UNIQUE,KT826818,KT826887,KT826956,
ANG037,37,Angraecum dasycarpum,ANGRAECINAE,EXACT_UNIQUE,KT826817,KT826886,KT826955,
ANG038,38,Angraecum didieri,ANGRAECINAE,EXACT_UNIQUE,KF558029,KF558030,KF558213,
ANG039,39,Angraecum dives,ANGRAECINAE,EXACT_UNIQUE,DQ091422,,DQ091547,DQ091756
ANG040,40,Angraecum drouhardii,ANGRAECINAE,EXACT_UNIQUE,KT826799,KT826869,KT826937,
ANG041,41,Angraecum dryadum,ANGRAECINAE,EXACT_UNIQUE,KT826810,KT826880,KT826948,
ANG042,42,Angraecum eburneum var. eburneum,ANGRAECINAE,EXACT_UNIQUE,KF558000,KF558128,KF558261,DQ091742
ANG043,43,Angraecum eburneum var. superbum,ANGRAECINAE,EXACT_UNIQUE,KT826769,KT826839,KT826907,DQ091738
ANG044,44,Angraecum eburneum var. xerophilum,ANGRAECINAE,EXACT_UNIQUE,KF557935,KF558092,KF558253,
ANG045,45,Angraecum elephantinum,ANGRAECINAE,EXACT_UNIQUE,DQ091424,,DQ091549,DQ091751
ANG046,46,Angraecum expansum,ANGRAECINAE,EXACT_UNIQUE,KF557974,KF558087,KF558151,
ANG047,47,Angraecum filicornu,ANGRAECINAE,EXACT_UNIQUE,KT826823,KT826892,KT826961,
ANG048,48,Angraecum florulentum,ANGRAECINAE,EXACT_UNIQUE,KF557934,KF558088,KF558248,DQ091741
