tip_id,source_taxon,source_table_row,figure2_ordinal,figure2_states,figure2_marker_centre_y,figureS5_ordinal,figureS5_states,figureS5_marker_box
LINO001,hugonia busseana,1,121,WHITE|YELLOW,2100.5,121,YELLOW,1377|2636|1385|2643
LINO002,anisadenia pubescens a,2,112,PURPLE|WHITE,1947.5,114,PURPLE|WHITE,1377|2485|1385|2492
LINO003,anisadenia pubescens b,3,113,PURPLE|WHITE,1965.5,115,PURPLE|WHITE,1377|2507|1385|2514
LINO004,anisadenia khasyana,4,118,PINK|WHITE,2050.5,116,PINK|WHITE,1377|2529|1385|2535
LINO005,anisadenia saxatilis,5,114,PINK|WHITE,1982.5,117,PINK|WHITE,1377|2551|1385|2558
LINO006,cliococca selaginoides a,6,21,PINK|WHITE,404.5,58,PINK|WHITE,1377|1256|1385|1262
LINO007,cliococca selaginoides b,7,22,PINK|WHITE,421.5,57,PINK|WHITE,1377|1234|1385|1241
LINO008,hesperolinon adenophyllum,8,7,PINK|YELLOW,166.5,49,YELLOW,1377|1059|1385|1065
LINO009,hesperolinon bicarpellatum,9,1,PINK|YELLOW,64.5,40,YELLOW,1377|861|1385|868
LINO010,hesperolinon breweri,10,13,PINK|YELLOW,268.5,45,YELLOW,1377|971|1385|978
LINO011,hesperolinon californicum,11,8,PINK|YELLOW,184.5,47,PINK,1377|1015|1385|1021
LINO012,hesperolinon clevelandii,12,11,PINK|YELLOW,234.5,43,YELLOW,1377|927|1385|934
LINO013,hesperolinon congestum,13,10,PINK|YELLOW,218.5,48,PINK|PURPLE,1377|1037|1385|1043
LINO014,hesperolinon didymocarpum,14,2,PINK|YELLOW,81.5,41,PINK|WHITE,1377|883|1385|889
LINO015,hesperolinon disjunctum,15,12,PINK|YELLOW,252.5,44,PINK|PURPLE|WHITE,1377|949|1385|956
LINO016,hesperolinon drymarioides,16,14,PINK|YELLOW,285.5,50,PINK|PURPLE,1377|1080|1385|1087
LINO017,hesperolinon micranthum a,17,3,PINK|YELLOW,98.5,39,PINK|WHITE,1377|839|1385|845
LINO018,hesperolinon micranthum b,18,6,PINK|YELLOW,149.5,37,PINK|WHITE,1377|795|1385|801
LINO019,hesperolinon sharsmithiae,19,9,PINK|YELLOW,200.5,46,YELLOW,1377|992|1385|999
LINO020,hesperolinon spergulinum,20,5,PINK|YELLOW,132.5,38,PINK,1377|817|1385|824
LINO021,hesperolinon tehamense,21,4,PINK|YELLOW,115.5,42,YELLOW,1377|905|1385|911
LINO022,radiola linoides a,22,74,WHITE,1303.5,110,WHITE,1377|2397|1385|2404
LINO023,radiola linoides b,23,75,WHITE,1320.5,111,WHITE,1377|2419|1385|2426
LINO024,reinwardtia indica a,24,119,YELLOW,2067.5,113,YELLOW,1377|2463|1385|2470
LINO025,reinwardtia indica b,25,120,YELLOW,2083.5,112,YELLOW,1377|2441|1385|2448
LINO026,sclerolinon digynum a,26,15,YELLOW,302.5,51,YELLOW,1377|1103|1385|1109
LINO027,sclerolinon digynum b,27,16,YELLOW,319.5,52,YELLOW,1377|1124|1385|1131
LINO028,tirpitzia ovoidea,28,115,PINK|WHITE,1999.0,120,WHITE,1377|2617|1385|2624
LINO029,tirpitzia sinensis a,29,116,WHITE,2016.5,118,WHITE,1377|2572|1385|2579
LINO030,tirpitzia sinensis b,30,117,WHITE,2032.5,119,WHITE,1377|2594|1385|2602
LINO031,linum acuticarpum,31,32,YELLOW,590.5,62,YELLOW,1377|1344|1385|1351
LINO032,linum adustum,32,38,PURPLE|YELLOW,692.5,71,PINK|PURPLE,1377|1542|1385|1548
LINO033,linum aethiopicum,33,29,YELLOW,540.5,65,YELLOW,1377|1410|1385|1416
LINO034,linum africanum,34,30,YELLOW,556.5,66,YELLOW,1377|1431|1385|1438
LINO035,linum album,35,49,YELLOW,879.5,89,WHITE,1377|1936|1385|1943
LINO036,linum alpinum,36,78,BLUE,1371.5,18,BLUE|PURPLE,1377|378|1385|384
LINO037,linum arboreum,37,46,YELLOW,828.5,78,YELLOW,1377|1695|1385|1702
LINO038,linum aretioides,38,47,YELLOW,845.5,80,YELLOW,1377|1739|1385|1745
LINO039,linum aroanium,39,91,BLUE|WHITE,1591.5,31,BLUE,1377|663|1385|670
LINO040,linum austriacum,40,83,PURPLE,1455.5,25,BLUE|PURPLE,1377|532|1385|539
LINO041,linum bienne,41,95,BLUE|WHITE,1659.5,10,BLUE,1377|203|1385|209
LINO042,linum brevistylum,42,37,YELLOW,675.5,72,YELLOW,1377|1563|1385|1570
LINO043,linum bungei,43,90,BLUE|WHITE,1574.5,32,BLUE,1377|686|1385|692
LINO044,linum campanulatum,44,43,YELLOW,778.0,81,YELLOW,1377|1761|1385|1768
LINO045,linum capitatum,45,42,YELLOW,760.5,82,YELLOW,1377|1783|1385|1789
LINO046,linum cariense,46,45,YELLOW,811.5,85,YELLOW,1377|1849|1385|1855
LINO047,linum catharticum,47,62,YELLOW,1100.0,77,WHITE,1377|1673|1385|1680
LINO048,linum comptonii,48,35,YELLOW,641.5,74,YELLOW,1377|1607|1385|1614
LINO049,linum corymbiferum,49,64,BLUE|YELLOW,1133.5,100,BLUE,1377|2178|1385|2185
LINO050,linum corymbulosum,50,59,YELLOW,1048.5,93,YELLOW,1377|2024|1385|2031
LINO051,linum decumbens,51,100,PURPLE|RED,1744.5,15,RED,1377|312|1385|319
LINO052,linum densiflorum,52,104,PURPLE,1812.5,3,PURPLE,1377|49|1385|56
LINO053,linum elegans,53,44,YELLOW,794.5,79,YELLOW,1377|1717|1385|1724
LINO054,linum empetrifolium,54,84,PURPLE,1473.5,29,PURPLE,1377|619|1385|626
LINO055,linum esterhuysenae,55,33,YELLOW,607.5,64,YELLOW,1377|1388|1385|1395
LINO056,linum flavum,56,48,YELLOW,862.5,86,YELLOW,1377|1871|1385|1877
LINO057,linum flos-carmini,57,70,YELLOW,1235.5,106,YELLOW,1377|2309|1385|2316
LINO058,linum gallicum,58,65,PURPLE|YELLOW,1150.5,102,YELLOW,1377|2222|1385|2228
LINO059,linum gracile,59,31,YELLOW,574.5,63,YELLOW,1377|1366|1385|1372
LINO060,linum grandiflorum,60,99,PURPLE|RED,1727.5,16,PURPLE|RED,1377|334|1385|341
